,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,please note if INCORRECT
122,LECO,2006,3642,T,NA,Spies,Oregon State University,Forestry Sciences Laboratory,Corvallis,OR,USA,spotcheck,
124,LECO,2007,607,D,P,Anderson,University of Wisconsin-Madison,Department of Zoology,Madison,WI,USA,2x,
127,LECO,2007,3529,T,NA,Crist,Miami University,Department of Zoology,Oxford,OH,USA,spotcheck,
130,LECO,2007,275,B,NA,Fu,Chinese Academy of Sciences,NA,Beijing,NA,China,2x,
132,LECO,2007,975,E,NA,Gustafson,Landscape Ecology Unit,NA,Rhinelander,NA,USA,2x,
135,LECO,2007,738,D,E,Jelinski,Queen's University Kingston,Bamfield Marine Sciences Centre and School of Environmental Studies,NA,Ontario,Canada,spotcheck,
136,LECO,2007,1327,H,NA,Li,USDA Forest Service,NA,Charleston,NA,USA,spotcheck,
138,LECO,2007,2053,K,NA,Moloney,Iowa State University,"Department of Ecology, Evolution, and Organismal Biology",Ames,IA,USA,2x,
140,LECO,2007,2688,N,NA,Schumaker,US Environmental Protection Agency,NA,Corvallis,OR,USA,spotcheck,
141,LECO,2007,223,A,NA,Veldkamp,Wageningen Agricultural University,Laboratory of Soil Science and Geology,Wageningen,NA,Netherlands,2x,
142,LECO,2007,3659,T,NA,Wiegand,UFZ Centre for Environmental Research Leipzig-Halle,NA,Leipzig,NA,Germany,2x,
143,LECO,2008,1179,G,NA,Foody,University of Nottingham,School of Geography,Nottingham,NA,UK,2x,
144,LECO,2008,2153,L,NA,Gillson,University of Cape Town,Botany Department,Cape Town,NA,UK,2x,
147,LECO,2008,738,D,E,Jelinski,University of Victoria,Department of Geography,Victoria,BC,Canada,2x,
149,LECO,2008,1744,J,M,Marzluff,University of Washington,College of Forest Resources,NA,NA,USA,spotcheck,
151,LECO,2008,2212,L,NA,Musacchio,University of Minnesota,Department of Landscape Architecture,Minneapolis,MN,USA,2x,
153,LECO,2009,607,D,P,Anderson,Landcare Research,NA,Lincoln,NA,New Zealand,2x,
156,LECO,2010,2292,M,NA,Belisle,University of Sherbrooke,NA,Sherbrooke,NA,Canada,2x,
157,LECO,2010,1473,J,NA,Bolliger,Swiss Federal Research Institute WSL,NA,Birmensdorf,NA,Switzerland,2x,
158,LECO,2010,3329,S,Green,Fisher,Arizona State University,NA,Tempe,AZ,USA,spotcheck,
159,LECO,2010,3577,T,NA,Keitt,University of Texas,NA,Austin,NA,USA,2x,
160,LECO,2010,1701,J,NA,Lawler,University of Washington,NA,Seattle,WA,USA,2x,
162,LECO,2010,2885,P,NA,Opdam,Wageningen University,Department of Land Use Planning & Alterra,Wageningen,NA,Netherlands,2x,
163,LECO,2010,1247,G,NA,Poole,Montana State University,NA,Bozeman,MT,USA,spotcheck,
164,LECO,2010,3215,R,NA,Schooley,University of Illinois,NA,Urbana,IL,USA,2x,
165,LECO,2010,2741,O,NA,Schweiger,Helmholtz Centre for Environmental Research - UFZ,NA,Halle,NA,Germany,2x,
168,LECO,2010,3878,H,NA,Wagner,University of Toronto at Mississauga,NA,NA,NA,Canada,2x,
170,LECO,2011,1473,J,NA,Bolliger,Swiss Federal Institute WSL,NA,Birmensdorf,NA,Switzerland,spotcheck,
171,LECO,2011,3886,J,NA,Chen,University of Toledo,NA,Toledo,OH,USA,2x,
175,LECO,2011,1640,J,D,Holland,Purdue University,NA,West Lafayette,IN,USA,2x,
177,LECO,2011,1795,J,M,Overton,Landcare Research,NA,Hamilton,NA,New Zealand,spotcheck,
179,LECO,2011,2238,L,A,Schulte,Iowa State University,NA,Ames,IA,USA,2x,
181,LECO,2011,2943,P,H,Verburg,Vrije Universiteit Amsterdam,NA,NA,NA,The Netherlands,spotcheck,
182,LECO,2011,3659,T,NA,Wiegand,Helmholtz Centre for Environmental Research - UFZ,NA,Leipzig,NA,Germany,2x,
186,LECO,2012,1687,J,A,Kupfer,University of South Carolina,NA,Columbia,SC,USA,spotcheck,
188,LECO,2012,3797,W,NA,Shen,Chinese Academy of Sciences,NA,Guangzhou,NA,China,2x,
192,LECO,2013,1633,J,NA,Hepinstall-Cymerman,University of Georgia,NA,Athens,GA,USA,spotcheck,
194,LECO,2013,3398,S,S,Luque,National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA),NA,St-Martin d'Heres Cedex,NA,France,spotcheck,
195,LECO,2013,3900,J,R,Miller,University of Illinois,NA,Urbana,IL,USA,2x,
199,LECO,2013,889,D,M,Theobald,National Park Service,Natural Resources,Fort Collins,CO,USA,2x,
200,LECO,2013,222,A,JA,vanTeeffelen,VU University Amsterdam,NA,Amsterdam,NA,The Netherlands,spotcheck,
206,LECO,2014,2668,N,E,McIntyre,Texas Tech University,NA,Lubbock,TX,USA,spotcheck,
209,LECO,2014,2943,P,H,Verburg,VU University Amsterdam,NA,NA,NA,The Netherlands,spotcheck,
212,LECO,2015,2299,M,NA,Betts,University of Sherbrooke,NA,NA,NA,USA,spotcheck,
216,LECO,2015,1533,J,NA,Cymerman,Arizona State University,NA,NA,NA,USA,spotcheck,
217,LECO,2015,3337,S,E,Gergel,"University of British Columbia, Vancouver",NA,NA,NA,Canada,2x,
222,LECO,2015,3592,T,R,Lookinbill,University of Wisconsin-Madison,NA,NA,NA,USA,spotcheck,
223,LECO,2015,3398,S,S,Luque,National res. Inst.Of science and tech. for env.And agriculture,NA,NA,NA,France,2x,
224,LECO,2015,1795,J,M,Overton,"Landcare Research , Lincoln",NA,NA,NA,New Zealand,2x,
226,LECO,2015,1906,J,R,Thompson,Arizona State University,NA,NA,NA,USA,spotcheck,
