"","journal","year","editor_id","first_name","middle_name","last_name","title","category.x","name","unit","city.x","state","country","geo.code_prior_class","geo.code","income_level","region","source.x","unitid","city.y","stabbr","category.y","classification","source.y"
"32","biocon",1998,433,"craig",NA,"guyer","eb","se","auburn university","zoology","auburn","AL","usa",NA,"USA","High income: OECD","North America","class","100858","auburn","al","15","doctoral","carnegie"
"33","ecology",2003,975,"f","stephen","dobson",NA,"se","auburn university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","100858","auburn","al","15","doctoral","carnegie"
"34","ecology",2005,2166,"micky","d","eubanks",NA,"se","auburn university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","100858","auburn","al","15","doctoral","carnegie"
"35","newphyt",2011,3036,"s",NA,"crafts-brandner","coeditor","ae","basf",NA,NA,"NC","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"36","leco",2005,1845,"k",NA,"gutzwiller","se","se","baylor university","department of biology","waco","TX","usa",NA,"USA","High income: OECD","North America","class","223232","waco","tx","15","doctoral","carnegie"
"37","ecology",2002,1940,"kerry","d","woods",NA,"se","bennington college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","230816","bennington","vt","21","baccalaureate","carnegie"
"38","ecology",2002,3129,"steven","g","morgan",NA,"se","bodega marine laboratory",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"39","conbio",1994,2932,"richard","b","primack","ae","ae","boston university","department of biology","boston","MA","usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"40","bitr",1996,3291,"thomas",NA,"kunz","se","se","boston university",NA,"boston","MA","usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"41","bitr",1997,3483,"whendee",NA,"silver","se","se","boston university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"42","evol",2004,2358,"michael","d","sorenson","ae","se","boston university",NA,"boston","MA","usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"43","amnat",2006,518,"christopher","j","schneider","editorial.board","se","boston university",NA,"boston","MA","usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"44","ecology",2014,2694,"pamela","h","templer",NA,"se","boston university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","164988","boston","ma","15","doctoral","carnegie"
"45","ajb",2007,3004,"sophia",NA,"balcomb","ae","se","botanical society of america",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"46","bitr",1997,2485,"nathaniel",NA,"wheelwright","se","se","bowdoin college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","161004","brunswick","me","21","baccalaureate","carnegie"
"47","leco",1999,1939,"kimberly","a","with","se","se","bowling green state university","department of biological sciences",NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"48","evol",1995,1720,"jack","w","sites","ae","se","brigham young university",NA,"provo","UT","usa",NA,"USA","High income: OECD","North America","class","230038","provo","ut","16","doctoral","carnegie"
"49","evol",2006,1829,"keith","a","crandall","ae","se","brigham young university",NA,"provo","UT","usa",NA,"USA","High income: OECD","North America","class","230038","provo","ut","16","doctoral","carnegie"
"50","ecology",1996,297,"brian","a","maurer",NA,"se","brigham young university",NA,"provo","UT","usa",NA,"USA","High income: OECD","North America","class","230038","provo","ut","16","doctoral","carnegie"
"51","evol",1990,1704,"johanna","m","schmitt","ae","se","brown university",NA,"providence","RI","usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"52","jbiog",1991,3353,"thompson",NA,"webb","se","se","brown university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"53","evol",2004,448,"christine","marie","janis","ae","se","brown university",NA,"providence","RI","usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"54","ecology",1985,728,"douglas","a","morse",NA,"se","brown university",NA,"providence","RI","usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"55","ecology",1990,2110,"mark","d","bertness",NA,"se","brown university",NA,"providence","RI","usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"56","ecology",1999,1799,"jon",NA,"witman",NA,"se","brown university",NA,"providence","RI","usa",NA,"USA","High income: OECD","North America","class","217156","providence","ri","15","doctoral","carnegie"
"57","biocon",1991,726,"dj",NA,"morafka","eb","se","california state university dominguez hills",NA,"carson","CA","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"58","bitr",2012,3305,"terry",NA,"mcglynn","se","se","california state university dominguez hills",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"59","jape",2008,882,"esteban",NA,"fernandez-juricic","associate.editor","se","california state university long beach","biology","long beach","CA","usa","usa","USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"60","oecol",2014,1539,"jamie",NA,"kneitel","handling.editor","se","california state university sacramento",NA,"sacramento",NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"61","gcb",1995,414,"chris",NA,"field","editor","se","carnegie institution of washington",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"62","evol",2001,1794,"john","j","wiens","ae","se","carnegie museum of natural history",NA,"pittsburgh","PA","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"63","plantecol",2011,1605,"joy","n","mast","editorial.board","se","carthage college",NA,"kenosha","WI","usa",NA,"USA","High income: OECD","North America","class","238476","kenosha","wi","20","masters","carnegie"
"64","funecol",2001,3536,"clive","green","jones","editorial review board","se","cary institute of ecosystem studies",NA,"millbrook",NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"65","jecol",2008,383,"charles","d","canham","se","se","cary institute of ecosystem studies",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"66","ecology",1991,803,"david","l","strayer",NA,"se","cary institute of ecosystem studies",NA,"millbrook","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"67","ecology",1997,2917,"richard","s","ostfeld",NA,"se","cary institute of ecosystem studies",NA,"millbrook","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"68","ecology",2000,2587,"peter","m","groffman",NA,"se","cary institute of ecosystem studies",NA,"millbrook","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"69","ecology",2002,3054,"stuart",NA,"findlay",NA,"se","cary institute of ecosystem studies",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"70","leco",2008,2928,"r","green","pontius","se","se","clark university","department of international development, community and environment (idce)","worcester","MA","usa",NA,"USA","High income: OECD","North America","class","165334","worcester","ma","16","doctoral","carnegie"
"71","fem",2002,3114,"susan","c","loeb","editorial.advisory.board","se","clemson university",NA,"clemson","SC","usa",NA,"USA","High income: OECD","North America","class","217882","clemson","sc","15","doctoral","carnegie"
"72","bitr",2012,3039,"saara",NA,"dewalt","se","se","clemson university","biological sciences",NA,NA,"usa",NA,"USA","High income: OECD","North America","class","217882","clemson","sc","15","doctoral","carnegie"
"73","evol",2004,719,"damhnait",NA,"mchugh","ae","se","colgate university",NA,"hamilton","NY","usa",NA,"USA","High income: OECD","North America","class","190099","hamilton","ny","21","baccalaureate","carnegie"
"74","biocon",1985,3424,"wh",NA,"drury","eb","se","college of atlantic",NA,"bar harbor","ME","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"75","amnat",2003,505,"christopher","w","petersen","editorial.board","se","college of atlantic",NA,"bar harbor","ME","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"76","amnat",2006,1086,"george","w","gilchrist","editorial.board","se","college of william and mary",NA,NA,"VA","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"77","ecology",1999,1427,"j","emmett","duffy",NA,"se","college of william and mary",NA,"williamsburg","VA","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"78","jape",2008,2626,"paul",NA,"lukacs","associate.editor","se","colorado division of wildlife",NA,"fort collins","CO","usa","usa","USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"79","plantecol",1990,1420,"james","k","detling","editor","se","colorado state university","natural resource ecology laboratory","fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"80","plantecol",1991,3449,"william","k","lauenroth","editor","se","colorado state university","range science","fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"81","fem",1992,579,"dan",NA,"binkley","book.review.editor","special","colorado state university","forest and wood science","fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"82","conbio",1994,1245,"holmes",NA,"rolston","se","se","colorado state university",NA,"fort colllins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"83","amnat",1998,1504,"joan","m","herbers","editorial.board","se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"84","bitr",1998,43,"alan",NA,"covich","se","se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"85","conbio",1998,2860,"richard","l","knight","se","se","colorado state university","department of fishery & wildlife biology","fort colllins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"86","oecol",1998,635,"diana","w","freckman","editorial.board","se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"87","fem",1999,1282,"ingrid",NA,"burke","editorial.advisory.board","se","colorado state university",NA,"fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"88","gcb",2003,3838,"dennis",NA,"ojima","editor","se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"89","ajb",2008,2353,"mark",NA,"simmons","ae","se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"90","newphyt",2010,2310,"marinus",NA,"pilon","editor","se","colorado state university",NA,"fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"91","conbio",2011,813,"david",NA,"theobald","se","se","colorado state university",NA,"fort colllins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"92","biocon",2014,2551,"philip",NA,"cafaro","book.review.editor","special","colorado state university","philosophy","fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"93","ecology",1990,1821,"kenneth","p","burnham",NA,"se","colorado state university",NA,"fort collins","CO","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"94","ecology",2006,2086,"michael","f","antolin",NA,"se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"95","ecology",2013,1851,"kathryn","p","huyvaert",NA,"se","colorado state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"96","plantecol",2006,1843,"kevin","l","griffin","editorial.board","se","columbia university","lemont-doherty earth observatory","new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"97","bitr",2012,2370,"maria",NA,"uriarte","se","se","columbia university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"98","biocon",2014,3293,"tien","m","lee","eb","se","columbia university",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"99","ecology",2006,3130,"shahid",NA,"naeem",NA,"special","columbia university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"100","conbio",1987,1122,"guillermo","w","mann","ae","ae","conservation international","director for science and conservation planning","washington dc","DC","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"101","conbio",2005,2784,"richard",NA,"daszak","se","se","consortium for conservation medicine",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"102","conbio",2006,2562,"peter",NA,"daszak","se","se","consortium for conservation medicine",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"103","evol",1987,355,"charles","f","aquadro","ae","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"104","leco",1987,3112,"s","a","levin","editorial.board","se","cornell university",NA,NA,"NJ","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"105","evol",1988,1890,"karl","j","niklas","ae","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"106","amnat",1991,2677,"paul","w","sherma","editorial.board","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"107","evol",1991,2828,"richard",NA,"harrison","ae","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"108","ajb",1995,743,"dominick",NA,"pacillio","ae","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"109","amnat",1995,438,"c","drew","harvell","editorial.board","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"110","amnat",1996,2190,"monica","a","geber","editorial.board","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"111","oecol",1996,3244,"todd","e","dawson","editorial.board","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"112","fem",1997,1562,"jim","p","lassoie","editorial.advisory.board","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"113","jane",2002,3047,"steve",NA,"ellner","ae","se","cornell university",NA,"cornell",NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"114","amnat",2003,1197,"harry","w","greene","editorial.board","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"115","amnat",2006,848,"elizabeth",NA,"adkins-regan","editorial.board","se","cornell university","psychology","ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"116","amnat",2007,3724,"monica",NA,"gerber","editor","se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"117","newphyt",2009,109,"andre",NA,"kessler","editor","se","cornell university","department of ecology & evolutionary biology","ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"118","oikos",2009,2377,"mark",NA,"vellend","subject.editor","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"119","evol",2010,2200,"matt",NA,"hare","ae","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"120","amnat",2011,2,"anurag",NA,"agrawal","editorial.board","se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"121","oecol",2014,1748,"jennifer",NA,"thaler","handling.editor","se","cornell university",NA,"ithaca",NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"122","ecology",1985,2028,"lee","n","miller",NA,"eic","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"123","ecology",1990,2433,"nelson","g","hairston",NA,"se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"124","ecology",1998,315,"barbara","l","peckarsky",NA,"se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"125","ecology",1999,1806,"joseph","b","yavitt",NA,"se","cornell university",NA,"ithaca","NY","usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"126","ecology",2004,68,"alexander","s","flecker",NA,"se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"127","ecology",2007,866,"evan","g","cooch",NA,"se","cornell university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190415","ithaca","ny","15","doctoral","carnegie"
"128","plantecol",1996,1063,"gregory","p","cheplick","editor","se","cuny college of staten island","department of biology, faculty of science","staten island","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"129","evol",2013,969,"frank",NA,"burbrink","ae","se","cuny college of staten island",NA,"new york","NY","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"130","ajb",1986,568,"dominick",NA,"basile","ec","se","cuny lehman college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","190637","bronx","ny","18","masters","carnegie"
"131","oecol",1990,1470,"john","j","gilbert","editorial.board","se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"132","amnat",1998,2273,"mark","a","mcpeek","editorial.board","se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"133","oecol",2001,417,"carol","l","folt","editorial.board","se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"134","oikos",2007,2096,"mathew",NA,"ayres","subject.editor","se","dartmouth college",NA,"hanover","NH","usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"135","oecol",2008,2845,"rebecca","e","irwin","handling.editor","se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"136","funecol",2010,2763,"ryan",NA,"calsbeek","associate editor","ae","dartmouth college",NA,"darmouth",NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"137","oecol",2012,745,"david","r","peart","handling.editor","se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"138","ecology",1985,2836,"richard","t","holmes",NA,"se","dartmouth college",NA,"hanover","NH","usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"139","ecology",2005,1828,"kathryn",NA,"cottingham",NA,"se","dartmouth college",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","182670","hanover","nh","15","doctoral","carnegie"
"140","ecology",2008,2731,"richard","b","aronson",NA,"se","dauphin island sea lab",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"141","bitr",2004,1933,"kevina",NA,"vulinec","se","se","delaware state university",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class","130934","dover","de","19","masters","carnegie"
"142","gcb",1995,3711,"paul",NA,"falkowski","editor","se","doe brookhaven national laboratory",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"143","newphyt",2013,2448,"nathan","green","mcdowell","editor","se","doe los alamos national laboratory","division of earth & environm science","los alamos","NM","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"144","amnat",1994,3467,"wilfred","m","post","editorial.board","se","doe oak ridge national laboratory",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"145","newphyt",1997,2909,"richard","j","norby","editor","se","doe oak ridge national laboratory","division of environmental science","oak ridge","TN","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"146","leco",1999,3375,"virginia",NA,"dale","se","se","doe oak ridge national laboratory","environmental sciences division",NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"147","gcb",2006,3745,"paul",NA,"hanson","editor","se","doe oak ridge national laboratory",NA,NA,NA,"usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"148","ecology",1991,2638,"patrick","j","mulholland",NA,"se","doe oak ridge national laboratory",NA,"oak ridge","TN","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"149","ecology",1997,2220,"michael","a","huston",NA,"se","doe oak ridge national laboratory",NA,"oak ridge","TN","usa",NA,"USA","High income: OECD","North America","class",NA,NA,NA,NA,NA,NA
"150","conbio",1993,1727,"james",NA,"spotila","se","se","drexel university",NA,"philadelphia","PA","usa",NA,"USA","High income: OECD","North America","class","212054","philadelphia","pa","15","doctoral","carnegie"
"151","amnat",2014,3138,"sean",NA,"odonnell","editorial board","se","drexel university",NA,"philadelphia","PA","usa",NA,"USA","High income: OECD","North America","class","212054","philadelphia","pa","15","doctoral","carnegie"
"152","evol",1986,2323,"mark","d","rausher","ae","se","duke university",NA,"durham","NC","usa",NA,"USA","High income: OECD","North America","class","198419","durham","nc","15","doctoral","carnegie"
