"","INST","COUNTRY"
"551","NoInst","Australia"
"552","Northern Territory University","Australia"
"559","Oxford University","Australia"
"562","Queensland","Australia"
"572","Riverina College of Advanced Education","Australia"
"575","Royal Botanic Gardens Melbourne","Australia"
"578","Royal Botanic Gardens Melbourne University of Melbourne","Australia"
"579","School of Biological Sciences","Australia"
"580","School of Environmental Science","Australia"
"582","Simon Fraser University","Australia"
"584","Southern Cross University","Australia"
"592","Sydney","Australia"
"597","Tropical Savannas Management Cooperative Research Centre and  Sustainable Ecosystems","Australia"
"600","University of Adelaide","Australia"
"613","University of Canberra","Australia"
"614","University of Kentucky","Australia"
"615","University of Melbourne","Australia"
"703","University of New England","Australia"
"713","University of New England Armidale","Australia"
"714","University of New South Wales","Australia"
"747","University of Pennsylvania","Australia"
"748","University of Queensland","Australia"
"783","University of Sydney","Australia"
"833","University of Tasmania","Australia"
"837","University of Western Australia","Australia"
"852","University of Wollongong","Australia"
"855","Unsw","Australia"
"860","Vegetation Survey of Western Australia","Australia"
"864","Victoria University of Wellington","Australia"
"865","Victorian School of forestry","Australia"
"868","Vrije Universiteit Amsterdam","Australia"
"870","Western Australian Ecology Centre","Australia"
"871",NA,"Australia"
"1228","","Austria"
"1231","Austrian Research Centre for Forests (BFW)","Austria"
"1233","Federal Forest Reseach Center","Austria"
"1240","Innsbruck","Austria"
"1254","Max F. Perutz Laboratories","Austria"
"1257","University of Agricultural Sciences","Austria"
"1263","University of Natural Resources and Applied Life Sciences BOKU","Austria"
"1276","University of Salzburg","Austria"
"1280","University of Veterinary Medicine","Austria"
"1281","University of Vienna","Austria"
"1284",NA,"Austria"
"1334","Antwerp","Belgium"
"1344","Jaldin Botanique Nacional de Belgique","Belgium"
"1349","Universite Libre de Bruxelles","Belgium"
"1350","University of Antwerp","Belgium"
"1364","University of Ghent","Belgium"
"1374","University of Leuven","Belgium"
"1380","University of Leuvenn","Belgium"
"1381","Unniversity of Leuven","Belgium"
"1382",NA,"Belgium"
"1407","Instituto Boliviano de Investigacion Forestal","Bolivia"
"1413","Universidad Mayor de San Simon Cochabamba","Bolivia"
"1417","University of Botswana","Botswana"
"1422","","Brazil"
"1425","Biological Dynamics of Forest Fragments Project","Brazil"
"1427","Brazilian Agricultural Research Corporation CIRAD","Brazil"
"1437","Instituto de Biociencias","Brazil"
"1438","Instituto de Pesquisa Ambiental da Amazonia","Brazil"
"1439","Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo","Brazil"
"1461","Instituto Nacional de Pesquisas da Amazonia","Brazil"
"1478","Instituto Nacional de Pesquisas da Amazonia INPA","Brazil"
"1482","Museu Nacional","Brazil"
"1483","Sao Paulo State University","Brazil"
"1484","Univ. de Sao Paulo","Brazil"
"1491","Universidade de Brasilia","Brazil"
"1496","Universidade de S?o Paulo","Brazil"
"1499","Universidade Estadual de Campinas (UNICAMP)","Brazil"
"1512","Universidade Estadual Paulista","Brazil"
"1513","Universidade Estadual Paulista (UNESP)","Brazil"
"1517","Universidade Federal De Alagoas","Brazil"
"1518","Universidade Federal de Goias","Brazil"
"1522","Universidade Federal de Lavras","Brazil"
"1525","Universidade Federal De Uberlandia","Brazil"
"1527","Universidade Federal do Rio Grande do Norte (UFRN)","Brazil"
"1528","University of Sao Paulo","Brazil"
"1543",NA,"Brazil"
"1593","Icbs Ufal And Oxford University","Brazil And UK"
"1594","Brunei Museum","Brunei"
"1596","","Canada"
"1661","Agriculture and Agri Food","Canada"
"1662","Agriculture and Agri Food Canada","Canada"
"1687","Alberta","Canada"
"1688","Beaverlodge res farm","Canada"
"1690","Brock University","Canada"
"1691","Canadian Forest Products Ltd","Canada"
"1695","Canadian Forest Service","Canada"
"1709","Carleton University","Canada"
"1717","Centre dEcologie Fonctionnelle et Evolutive","Canada"
"1718","Concordia University","Canada"
"1726","Dalhousie University","Canada"
"1733","Guelph","Canada"
"1735","Lakehead University","Canada"
"1736","Laval University","Canada"
"1739","McGill University","Canada"
"1781","McMaster University","Canada"
"1784","Memorial University of Newfoundland","Canada"
"1785","Mount St. Vicent Unviersity","Canada"
"1786","Newfoundland","Canada"
"1787","Newfoundland Forestry Center","Canada"
"1791","no one by this name","Canada"
"1792","Noura Ziadi","Canada"
"1795","Pacific Agri Food Research Centre","Canada"
"1796","Queens U","Canada"
"1801","Queens University","Canada"
"1812","Queens University Kingston","Canada"
"1813","Regina","Canada"
"1821","Rice University","Canada"
"1823","Sackville","Canada"
"1830","Saskatchewan","Canada"
"1838","Service Canadien des Forets","Canada"
"1842","Simon Fraser University","Canada"
"1877","Simon Fraser University","Canada"
"1880","St. Lawrence Centre","Canada"
"1884","Thompson Rivers University","Canada"
"1885","Toronto","Canada"
"1888","Trent University","Canada"
"1900","Université de Montréal","Canada"
"1902","Université du Quebec","Canada"
"1904","Universite de Moncton","Canada"
"1905","Universite de Montreal","Canada"
"1908","UniversitÃ© de Montreal","Canada"
"1909","Universite de Sherbrooke","Canada"
"1912","Universite Laval Quebec","Canada"
"1913","Universite of Montreal","Canada"
"1914","University du Quebec a Montreal","Canada"
"1921","University of Alberta","Canada"
"1998","University of British Columbia","Canada"
"2138","University of British Columbia Okanagan","Canada"
"2141","University of British Columbia Vancouver","Canada"
"2142","University of Calgary","Canada"
"2158","University of California Davis","Canada"
"2159","University of Guelph","Canada"
"2215","University of Lethbridge","Canada"
"2222","University of Manitoba","Canada"
"2231","University of Maryland","Canada"
"2233","University of New Brunswick","Canada"
"2250","University of Ottawa","Canada"
"2259","University of Quebec in Abitibi Temiscamingue","Canada"
"2261","University of Regina","Canada"
"2289","University of Saskatchewan","Canada"
"2290","University of Sherbrooke","Canada"
"2300","University of St. Andrews","Canada"
"2301","University of Toronto","Canada"
"2403","University of Toronto Mississauga","Canada"
"2416","University of Victoria","Canada"
"2421","University of Waterloo","Canada"
"2422","University of Western Ontario","Canada"
"2429","University of Windsor","Canada"
"2432","University of Wyoming","Canada"
"2435","Vancouver","Canada"
"2448","XiteBio Technologies Inc","Canada"
"2452","York University","Canada"
"2456",NA,"Canada"
"2855","CIEP","Chile"
"2856","Pontifica Universidad Catolica de Chile","Chile"
"2857","Pontificia Universidad Catolica de Chile","Chile"
"2862","Santiago","Chile"
"2866","Universidad de Chile","Chile"
"2871","Universidad de Concepcion","Chile"
"2873","University of Chile","Chile"
"2874",NA,"Chile"
"2892","","China"
"2898","Academica Sinica","China"
"2899","Beijing","China"
"2901","Beijing Forestry University","China"
"2905","Beijing Normal University","China"
"2913","China Agricultural University","China"
"2922","Chinese Academy of Sciences","China"
"2950","Chinese Academy of Sciencies","China"
"2951","Henan University","China"
"2952","Lanzhou University","China"
"2955","Nanjing Agricultural University","China"
"2959","Nanjing Forestry University","China"
"2971","National University of Singapore","China"
"2975","Peking University","China"
"2978","Pekinn","China"
"2979","Shandong Academy of Agricultural Sciences","China"
"2986","Sun Yat Sen University","China"
"2987","University of Hong Kong","China"
"3004","Xishuangbanna Tropical Botanical Garden","China"
"3014","Xishuangbanna Tropical Botanical Garden ","China"
"3016",NA,"China"
"3056","Bogota","Colombia"
"3057","University of Los Andes Bogota","Colombia"
"3060",NA,"Colombia"
"3061","Center for Tropical Agricultural Research and Education","Costa Rica"
"3084","Instituto Tecnologico de Costa Rica","Costa Rica"
"3089","La Selva Biological Station","Costa Rica"
"3092","Organization for Tropical Studies","Costa Rica"
"3097","Penn State University","Costa Rica"
"3101","Tropical Research and Training Center","Costa Rica"
"3102","Universidad de Costa Rica","Costa Rica"
"3105",NA,"Costa Rica"
"3111","Agricultural Institute Osijek","Croatia"
"3115","","Czech Republic"
"3122","Czech Academy of Sciences","Czech Republic"
"3130","University of Agriculture","Czech Republic"
"3135","University of Ceske Budejovice","Czech Republic"
"3136","University of South Bohemia","Czech Republic"
"3137",NA,"Czech Republic"
"3142",NA,"Czech Republicch Republic"
"3143","","Denmark"
"3151","Aarhus University","Denmark"
"3152","Copenhagen","Denmark"
"3165","Copenhagen University","Denmark"
"3175","Danish Forest and Landscape Research Institute","Denmark"
"3182","National Environmental Research Institute","Denmark"
"3183","NERI","Denmark"
"3187","Riso DTUniversity of National Laboratory for Sustainable Energy","Denmark"
"3192","Roskilde University","Denmark"
"3201","Royal Veterinary and Agricultural University","Denmark"
"3211","Royal Veterinary andAgricultural University","Denmark"
"3213","University of Aarhus","Denmark"
"3225","University of Copenhagen","Denmark"
"3254","University of Tennessee","Denmark"
"3255",NA,"Denmark"
"3301","Agricultural Research Center","Egypt"
"3307","(Retired) Natural History Museum London","England"
"3308","Ascot","England"
"3309","Bristol","England"
"3323","British Anarctic Society","England"
"3325","Cambridge","England"
"3350","Imperial College","England"
"3359","Lancaster","England"
"3370","Monks Wood","England"
"3376","N/A","England"
"3378","Natural History Museum","England"
"3386","Open University","England"
"3396","Plymouth","England"
"3412","Reading","England"
"3425","Rothamsted Research","England"
"3426","Royal Holloway","England"
"3428","Univerity of London","England"
"3429","University of Durham","England"
"3434","University of East Anglia","England"
"3435","University of Exeter","England"
"3452","University of Kent","England"
"3457","University of London","England"
"3476","University of Oxford","England"
"3481","University of Sheffield","England"
"3527","University of Sussex","England"
"3531","York","England"
"3547","Zoological Society of London","England"
"3564",NA,"England"
"3569","Estonian Agricultultural University","Estonia"
"3577","Tartu","Estonia"
"3587","Tartu University","Estonia"
"3592","University of Tartu","Estonia"
"3600",NA,"Estonia"
"3611","Addis Ababa University","Ethiopia"
"3614","South Pacific Fertilizers Ltd.","Fiji"
"3618","","Finland"
"3619","Centre dEcologie Fonctionnelle et Evolutive CNRS","Finland"
"3621","European Forestry Institute","Finland"
"3632","Finnish Environment Institute","Finland"
"3633","Finnish Forest Research Institute","Finland"
"3659","Helsinki","Finland"
"3660","no one by this name","Finland"
"3665","University of Helsinki","Finland"
"3760","University of Joensuu","Finland"
"3776","University of Jyvaskyla","Finland"
"3782","University of Oulu","Finland"
"3790","University of Turku","Finland"
"3809",NA,"Finland"
"3925","","France"
"3960"," Université Claude Bernard Lyon 1","France"
"3963","Centre dEcologie des Ressources Renouvelables","France"
"3964","Centre dEcologie Fonctionnelle et Evolutive CNRS","France"
"3974","Centre National de la Recherche Scientifique","France"
"3981","CNRS","France"
"3986","CNRS  Institut des Sciences de lEvolution Montpellier","France"
"3987","CNRS Centre dEcologie Fonctionnelle et Evolutive","France"
"3990","CNRS Montellier","France"
"3991","CSIRO European Laboratory","France"
"3993","Ecole Normale Sup<82>rieure","France"
"3994","Ecole Normale Superieure","France"
"4000","French Agricultural Research Centre for International Development CIRAD","France"
"4007","French National Institute for Agricultural Research Centre de Nancy","France"
"4013","French National Institute for Agricultural Research INRA","France"
"4018","French National School of Forestry ENGREF","France"
"4023","IFREMER","France"
"4024","Institut Botanique","France"
"4033","Laboratoire Arago","France"
"4038","Laboratoire Associe de Modelisation des Plantes (AMAP)","France"
"4042","Labratory of General and Apllied Ichthyology","France"
"4043","Montpellier","France"
"4046","Museum National dHistoire Naturelle","France"
"4078","National Institute for Agronomic Research","France"
"4084","National Natural History Museum Paris","France"
"4085","National res. Inst.Of science and tech. for env.And agriculture","France"
"4086","National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)","France"
"4088","Paul Sabatier University","France"
"4089","Roscoff Marine Station UPMC","France"
"4090","St. de Pytosociologie Fondamental","France"
"4091","Station Biologique de la Tour du Valat","France"
"4092","Universit‚ Montpellier II","France"
"4097","Universit<82> Paris Sud","France"
"4099","Universite Claude Bernard Lyons","France"
"4106","Universite de Nantes","France"
"4107","Universite de Paris Sud","France"
"4108","Universite de Rennes","France"
"4109","Universite Joseph Fourier","France"
"4112","UniversitÃ© Joseph Fourier","France"
"4115","Universite Montpellier","France"
"4116","Universite Montpellier II","France"
"4120","Universite Pierre and Marie Curie","France"
"4122","Universite Pierre Et Marie Curie","France"
"4125","University of Toulouse","France"
"4126","University Paris Sud 11","France"
"4143",NA,"France"
"4367","INRA","French Guiana"
"4368","UMR EcoFoG","French Guiana"
"4370","Station DEtudes des Gorilles et Chimpanzes (SEGC)","Gabon"
"4386","","Germany"
"4441","Albert Ludwigs Universit_t Freiburg","Germany"
"4442","Bavarian Forest National Park","Germany"
"4443","Carl von  University","Germany"
"4445","Carl von  University Oldenburg","Germany"
"4450","Christian Albrechts Universitat Kiel","Germany"
"4454","CINVESTAV","Germany"
"4458","Federal Research Center for Nature Conservation and Landscape Ecology","Germany"
"4459","Federal Research Centre for Forestry and Forest Products BFH","Germany"
"4467","Freie Universitt Berlin","Germany"
"4471","Freie University of Berlin","Germany"
"4472","Freie Universitï¿½t Berlin","Germany"
"4474","Georg August Universitat Gottingen","Germany"
"4488","Gottingen University","Germany"
"4489","Helmholtz Centre for Environmental Research UFZ","Germany"
"4507","Helmholtz Centre for Environmental Research UFZ Leipzig Halle","Germany"
"4511","Humboldt Universitat zu Berlin","Germany"
"4515","Humboldt University Berlin","Germany"
"4519","International University Brennen","Germany"
"4523","IZW","Germany"
"4528","J.W. Goethe University Frankfurt am Main","Germany"
"4529","Jena","Germany"
"4534","Justus Liebig Universitat","Germany"
"4535","Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen","Germany"
"4536","Leibniz Centre for Agricultural Landscape Research","Germany"
"4540","Leuphana University of LŸneburg","Germany"
"4542","Ludwig Maximilians Universit<84>t M<81>nchen","Germany"
"4544","Martin Luther University","Germany"
"4545","Max Planck Institute for Chemical Ecology","Germany"
"4550","Max Planck University","Germany"
"4555","Museum fu_r Naturkunde","Germany"
"4557","PhiIipps University Marburg","Germany"
"4563","Philipps University Marburg","Germany"
"4569","Salzburg University","Germany"
"4570","Technical University of Dresden","Germany"
"4582","Technische UniversitŠt Darmstadt","Germany"
"4584","Trier University","Germany"
"4587","TUniversity of Dresden","Germany"
"4588","Ulm","Germany"
"4591","United Nations University","Germany"
"4598","Universitat Osnabruck","Germany"
"4600","University of Bayreuth","Germany"
"4601","University of Bonn","Germany"
"4602","University of Bremen","Germany"
"4611","University of Cologne","Germany"
"4619","University of Freiburg","Germany"
"4632","University of Göttingen","Germany"
"4634","University of Gottingen","Germany"
"4638","University of Hamburg","Germany"
"4639","University of Kaiserslautern","Germany"
"4646","University of Leipzig","Germany"
"4650","University of Munich","Germany"
"4654","University of Oldenberg","Germany"
"4656","University of Oldenburg","Germany"
"4657","University of Potsdam","Germany"
"4658","University of Querzburg","Germany"
"4659","University of Regensburg","Germany"
"4661","University of T_bingen","Germany"
"4666","University of Ulm","Germany"
"4669","University of Western Ontario","Germany"
"4670","University of Wurzburg","Germany"
"4704",NA,"Germany"
"5213","Forest Research Institute","Greece"
"5224","Institute of Marine Biology of Crete","Greece"
"5225","University of Thessaloniki","Greece"
"5229",NA,"Greece"
"5236","University of Hong Kong","Hong Kong"
"5257","","Iceland"
"5261","","India"
"5268","Ashoka Trust for Research in Ecology and the Environment","India"
"5272","Bidhan Chandra Krishi Viswavid","India"
"5279","French Institute of Pondicherry","India"
"5281","Indian Forest Service","India"
"5284","Indian Inst Science Bangalore","India"
"5289","Indian Institue of Science","India"
"5291","Indian Institute of Science","India"
"5295","Jawaharial Nehru University","India"
"5315","Jawaharlal Nehru University","India"
"5329","Kerala Agricultural University","India"
"5354","Kerala Forest Research Institute","India"
"5355","National Centre for Biological Sciences","India"
"5356","Pondicherry University","India"
"5360","Punjab Agricultural University","India"
"5367","Univ of Allahabad","India"
"5369","University of Agricultural Science Bangalore","India"
"5372","University of Delhi","India"
"5373","Wildlife Conservation Society","India"
"5380","Wildlife Institute of India","India"
"5381",NA,"India"
"5399","Center for International Forestry Research CIFOR","Indonesia"
"5418","CIFOR","Indonesia"
"5421","Fauna and Flora International","Indonesia"
"5423","Nature Conservancy","Indonesia"
"5427","People and Nature Consulting International","Indonesia"
"5429","Gorgan University of Agric. Sci.","Iran"
"5433","Khorasan Agricultural and Natural Resources Res. Ctr","Iran"
"5436","Shahid Beheshti University","Iran"
"5438","Shahid Beheshti University","IRAN"
"5439","","Ireland"
"5448","Cork","Ireland"
"5461","National Center for Agriculture and Veterinary Biotechnology","Ireland"
"5466","National University of Ireland","Ireland"
"5467","Teagasc","Ireland"
"5468","Trinity College Botanic Garden","Ireland"
"5469","University College Cork","Ireland"
"5472","University College Dublin","Ireland"
"5498","University of College","Ireland"
"5499",NA,"Ireland"
"5529","","Israel"
"5538","Ben Gurion University of the Negev","Israel"
"5551","Hebrew University of Jerusalem","Israel"
"5555","Israel Nature and National Parks Protection Authority","Israel"
"5569","Technion Israel Institute of Technology","Israel"
"5579","Tel Aviv University","Israel"
"5590","University of Haifa","Israel"
"5592","University of Tel Aviv","Israel"
"5593",NA,"Israel"
"5637","","Italy"
"5638","Food and Agriculture Organization FAO","Italy"
"5660","Istituto Sperimentale per la Selvicoltura","Italy"
"5667","Ministry of the Environment","Italy"
"5668","Ponteficio Collegio Irlandese","Italy"
"5669","Universita Camerino","Italy"
"5670","University of Bologna","Italy"
"5677","University of Milano","Italy"
"5684","University of Pavia","Italy"
"5685","University of Salento","Italy"
"5688","University of Trieste","Italy"
"5709","University of Urbino","Italy"
"5712","WWF","Italy"
"5713",NA,"Italy"
"5735",NA,"ITALY"
"5736","","Japan"
"5792","Forestry and Forest Products Research Institute","Japan"
"5794","Graduate University for Advanced Studies","Japan"
"5797","Himeji City Aquarium","Japan"
"5798","Hiroshima University","Japan"
"5801","Hokkaido","Japan"
"5811","Hokkaido University","Japan"
"5812","Kagoshima University","Japan"
"5814","Kyoto","Japan"
"5829","Kyoto University","Japan"
"5835","Kyushu University","Japan"
"5840","Marine Parks Center of Japan","Japan"
"5841","Osaka City University","Japan"
"5842","Tohoku University","Japan"
"5844","Tokaigakuen University","Japan"
"5849","Tokyo University of Agriculture","Japan"
"5850","Yokohama National University","Japan"
"5853",NA,"Japan"
"5917","African Agricultural Technology Foundation","Kenya"
"5924","International Center for Research in Agroforestry ICRAF","Kenya"
"5945","International Centre of Insect Physiology and Ecology","Kenya"
"5947","Moi University","Kenya"
"5956",NA,"Kenya"
"5958",NA,"Latvia"
"5961","","Malaysia"
"5968","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"5972","Monash University","Malaysia"
"5975","Universiti Sains","Malaysia"
"5981","University Kebangsaan","Malaysia"
"5984","University of Malaysia","Malaysia"
"5985",NA,"Malaysia"
"5995","","Mexico"
"6017","CINVESTAV","Mexico"
"6018","Colegio de la Frontera Sur ECOSUR","Mexico"
"6031","Instituto de Ecologia A.C.","Mexico"
"6032","Universidad Autonoma de Yucatan","Mexico"
"6033","Universidad Nacional Aut<a2>noma de M<82>xico","Mexico"
"6034","Universidad Nacional Aut¢noma de M‚xico","Mexico"
"6036","Universidad Nacional Autonoma de M‚xico","Mexico"
"6042","Universidad Nacional Autonoma de Mexico","Mexico"
"6084","Universidad National Autonoma de Mexico","Mexico"
"6085",NA,"Mexico"
"6109","Queens University of Belfast","N. Ireland"
"6114","","Netherlands"
"6178","Agricultural University","Netherlands"
"6182","Agricultural University Wageningen","Netherlands"
"6186","Alterra","Netherlands"
"6193","ALTERRA Research Institute for the Green World","Netherlands"
"6194","ALTERRA Research Instituut voor de groene ruimte","Netherlands"
"6196","Biological Station Wijster","Netherlands"
"6210","Catholic University","Netherlands"
"6212","Free University Amsterdam","Netherlands"
"6231","Institute of Forestry and Nature Research","Netherlands"
"6232","Leiden University","Netherlands"
"6244","Netherlands Institue of Ecology","Netherlands"
"6247","Netherlands Institute of Ecology","Netherlands"
"6266","Netherlands Institute of Ecology; Wageningen University and Research Centre","Netherlands"
"6270","Netherlands Institute of Ecology; Wageningen University and Research Centre Netherlands Institute of Ecology","Netherlands"
"6271","NIOO","Netherlands"
"6272","NIOZ and Groningen","Netherlands"
"6276","Radboud University","Netherlands"
"6292","Radboud University Nijmegen","Netherlands"
"6295","Research Institute for Agrobiology and Soil Fertility","Netherlands"
"6296","Research Institute for Nature Management","Netherlands"
"6297","Tropenbos International","Netherlands"
"6312","University of Amsterdam","Netherlands"
"6331","University of Groningen","Netherlands"
"6341","University of Leiden","Netherlands"
"6342","University of University Amsterdam","Netherlands"
"6347","University of Utrecht","Netherlands"
"6390","University of Zuidema","Netherlands"
"6391","Utrecht","Netherlands"
"6397","Utrecht University","Netherlands"
"6405","Vrije Universiteit","Netherlands"
"6423","Vrije Universiteit Amsterdam","Netherlands"
"6426","VRije Universiteit Amsterdam","Netherlands"
"6427","Wageningen","Netherlands"
"6437","Wageningen Agricultural University","Netherlands"
"6481","Wageningen Agricultural University and Research Center Alterra","Netherlands"
"6482","Wageningen University","Netherlands"
"6526","Wageningen University and Instituto Boliviano de Investigacion Forestal","Netherlands"
"6527","Wageningen University and Research","Netherlands"
"6529","Wageningen University and Research Centre","Netherlands"
"6536","Wageningen University Research Center Alterra","Netherlands"
"6541","WL Delft Hydraulics","Netherlands"
"6546",NA,"Netherlands"
"6751","","New Zealand"
"6768","AgResearch","New Zealand"
"6771","AgResearch Ltd","New Zealand"
"6773","Auckland","New Zealand"
"6784","Christ Church","New Zealand"
"6798","Christchurch","New Zealand"
"6806","Department of Scientific and Industrial Research","New Zealand"
"6813","Ecological Research Associates of New Zealand","New Zealand"
"6814","Landcare Research  Lincoln","New Zealand"
"6815","Landcare Research Ltd","New Zealand"
"6816","Lincoln University","New Zealand"
"6818","Manaaki Whenua Landcare Research","New Zealand"
"6861","Massey","New Zealand"
"6863","Massey University","New Zealand"
"6869","National Institute of Water And Atmospheric Research","New Zealand"
"6876","New Zealand Research Centre for Urban Ecology","New Zealand"
"6878","no one by this name","New Zealand"
"6879","University of Auckland","New Zealand"
"6891","University of Canterbury","New Zealand"
"6932","University of Otago","New Zealand"
"6939","University of Waikato","New Zealand"
"6941","Victoria University of Wellington","New Zealand"
"6965","Waikato University","New Zealand"
"6968",NA,"New Zealand"
"7054","Paso Pacifico","Nicaragua"
"7058","Obafemi Awolowo University","Nigeria"
"7063","University of ibadan","Nigeria"
"7073","University of Ife","Nigeria"
"7079","Queens University of Belfast","Northern Ireland"
"7084","Ulster","Northern Ireland"
"7086","Agricultural University of Norway","Norway"
"7105","Botanical Museum","Norway"
"7113","Institute of Geology and Biology","Norway"
"7121","Institute of Nature Conservation","Norway"
"7128","Norwegian Institute for Nature Research","Norway"
"7131","Norwegian University of Science and Technology","Norway"
"7134","University of Alaska","Norway"
"7135","University of Bergen","Norway"
"7164","University of Oslo","Norway"
"7184","University of Tromso","Norway"
"7194","Zoological Museum","Norway"
"7204",NA,"Norway"
"7281","Chinese Academy of Sciences","P.R. China"
"7284","","Panama"
"7285","Smithsonian Tropical Research Institute","Panama"
"7292","STRI","Panama"
"7295",NA,"Panama"
"7320","Universidad Nacional Agraria","Peru"
"7324",NA,"Philippines"
"7325","","Poland"
"7327","Bialystok","Poland"
"7334","Krakow","Poland"
"7344","Polish Academy of Science","Poland"
"7351","Polish Academy of Sciences","Poland"
"7352","University Lodz","Poland"
"7356","Wrcoclaw U","Poland"
"7364",NA,"Poland"
"7375","Gulbenkian Institute","Portugal"
"7378",NA,"Portugal"
"7379","Center for Energy and Environmental Research","Puerto Rico"
"7380","Institute of Tropical Forestry","Puerto Rico"
"7384","University of Puerto Rico","Puerto Rico"
"7387","US Forest Service","Puerto Rico"
"7394","Seoul","Republic of Korea"
"7397","Institute of Animal Evolutionary Morphology and Ecology","Russia"
"7400","Ministry of Agriculture of the USSR","Russia"
"7401","Moscow State University","Russia"
"7404","Science Academy of the USSR","Russia"
"7405","Siberian Branch of the Academy of Sciences","Russia"
"7410","Siberian Central Botanical Garden","Russia"
"7413",NA,"Russia"
"7419","Antioch New England Graduate School and National University of Rwanda","Rwanda"
"7425","Dundee","Scotland"
"7445","Gatty Marine Lab (University of Saint Andrews)","Scotland"
"7450","National Museums Scotland","Scotland"
"7457","University of Aberdeen","Scotland"
"7474","University of Edinburgh","Scotland"
"7487","University of Stirling","Scotland"
"7488",NA,"Scotland"
"7491","National University of Singapore","Singapore"
"7506","Singapore Botanic Gardens","Singapore"
"7510",NA,"Singapore"
"7521","Center of Biological and Ecological Sciences","Slovakia"
"7522","Institute for Landscape Ecology of Slovak Academy of Sciences","Slovakia"
"7526",NA,"Slovakia"
"7532","","South Africa"
"7540","Kruger National Park","South Africa"
"7545","Mammal Research Institute (University of Pretoria)","South Africa"
"7553","National Botanical Institute","South Africa"
"7560","North West University","South Africa"
"7561","Percy FitzPatrick Institute of African Ornithology","South Africa"
"7567","Pretoria","South Africa"
"7569","South African National Parks","South Africa"
"7570","Stellenbosch University","South Africa"
"7572","University of Cape Town","South Africa"
"7612","University of KwaZulu Natal","South Africa"
"7618","University of Natal","South Africa"
"7627","University of Orange Free State","South Africa"
"7633","University of Port Elizabeth","South Africa"
"7637","University of Pretoria","South Africa"
"7648","University of Stellenbosch","South Africa"
"7682","University of the Witwatersrand","South Africa"
"7690",NA,"South Africa"
"7743","","Spain"
"7753"," UPV","Spain"
"7756","CISC","Spain"
"7758","Ciudad Universitaria","Spain"
"7759","Consejo Superior de Investigaciones Cientificas","Spain"
"7769","Consejo Superior de Investigaciones Cientificas ()","Spain"
"7778","Donana Biological Station","Spain"
"7779","Estacion Biologica Donana","Spain"
"7782","IMEDEA","Spain"
"7783","Instituto de Recursos Naturalesand Agrobiologia","Spain"
"7788","Instituto Mediterraneo de Estudios Avanzados (IMEDEA)","Spain"
