INST,INST_CORRECTED,UNIT,INST_SECONDARY,NOTES
Center of Biological and Ecological Sciences,Institute of Landscape Ecology of Slovak Academy of Sciences,,,
Centre dEcologie des Ressources Renouvelables,CNRS Centre dEcologie des Ressources Renouvelables,CNRS Centre dEcologie des Ressources Renouvelables,,
Centre dEcologie Fonctionnelle et Evolutive,CNRS Centre dEcologie Fonctionnelle et Evolutive,,,NEED TO ADD MAX DEBUSSCHE to Centre dEcologie Fonctionnelle et Evolutive
Centre dEcologie Fonctionnelle et Evolutive CNRS,CNRS Centre dEcologie Fonctionnelle et Evolutive,,,
Centre for Ecology and Hydrology,,,,
Centre National de la Recherche Scientifique,CNRS Centre dEcologie Fonctionnelle et Evolutive,,,
Centro de Ecologia,Instituto Venezolano de Investigaciones Científicas,Centro de Ecologia,,
Centro Nacional Patagonico CONICET,CONICET Centro Nacional Patagonico,,,
Charles Darwin University,,,,
China Agricultural University,,,,
Chinese Academy of Sciences,,,,
Chris Britton Consultancy Balfor Beatty,Chris Britton Consultancy Ltd,,,
Christ Church,Manaaki Whenua Landcare Research,,,
Christian Albrechts Universitat Kiel,,,,
Christopher Newport University,,,,
CIEP,Centro de Investigación en Ecosistemas de la Patagonia,,,
CIFOR,Center for International Forestry Research,,,
CINVESTAV,Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional,,,
CISC,CSIC Estacion Biologica Donana,,,Consejo Superior de Investigaciones Científicas
CISRO,CSIRO,,,Commonwealth Scientific and Industrial Research Organisation
Ciudad Universitaria,,,,
Clark University,,,,
Clemson University,,,,
CLEREL,Cornell University,Lake Erie Research And Extension Lab,,
Climate Corporation,The Climate Corporation,,,
CNRS  Institut des Sciences de lEvolution Montpellier,,,,
CNRS Montellier,CNRS Centre dEcologie Fonctionnelle et Evolutive,,,
Colegio de la Frontera Sur ECOSUR,Colegio de la Frontera Sur,,,
Colgate University,,,,
College of New Jersey,,,,
College of Staten Island CUNY,CUNY College of Staten Island,,,
College of the Atlantic,,,,
College of William and Mary,,,,
Colorado Cooperative Fish and Wildlife Unit,,,,
Colorado State University,,,,
Columbia Universily,Columbia University,,,
Columbia University,,,,
Commonwealth Scientific and Industrial Research Organisation,,,,
Commonwealth Scientific and Industrial Research Organisation (CSIRO),Commonwealth Scientific and Industrial Research Organisation,,,
Commonwealth Secretariat,,,,
Concordia University,,,,
Consejo Superior de Investigaciones Cientificas,,,,
Consejo Superior de Investigaciones Cientificas (),Consejo Superior de Investigaciones Cientificas,,,
Conservation International,,,,
Consortium for Conservation Medicine,,,,
Copenhagen University,,,,
Cork,University College Cork,,,
Cornell University,,,,
Cranfield University,,,,
CSIRO,CSIRO,,,
Csiro Division of Wildlife And Ecology,CSIRO,,,
CSIRO Ecosystem Sciences,CSIRO,Ecosystem Sciences,,
CSIRO Land and Water,CSIRO,Land and Water,,
CSIRO Sustainable Ecosystems,CSIRO,Sustainable Ecosystems,,
CSIRO Wildlife and Ecology,CSIRO,Wildlife and Ecology,,
Curtin University of Technology,,,,
Czech Academy of Sciences,,,,
Dalhousie University,,,,
Danish Forest and Landscape Research Institute,,,,
Dartmouth College,,,,
Dauphin Island Sea Lab,,,,
Deakin University,,,,
Delaware State University,,,,
Denison University,,,,
Department of Agriculture and Water Resources,,,,
Department of Conservation and Land Management,,,,
Department of Scientific and Industrial Research,,,,
Desert Research Institute,,,,
Donana Biological Station,CSIC Estacion Biologica Donana,,,
Dow AgroSciences,,,,
Drexel University,,,,
Duke University,,,,
East Carolina University,,,,
Eastern Michigan University,,,,
EcoAdapt,,,,
EcoHealth Alliance,,,,
Ecole Normale Sup<82>rieure,Ecole Normale Superieure,,,
Ecole Normale Superieure,,,,
Ecological Research Associates of New Zealand,,,,
Ecosystems Center,Marine Biological Laboratory,Ecosystems Center,,
Eidgenossiche Technische Hochschule (ETH) Zurich,Eidgenossiche Technische Hochschule Zurich,,,
Emory University,,,,
English Nature,,,,
Environmental Defense Fund,,,,
Environmental Protection Agency,US Environmental Protection Agency,,,
Estacion Biologica Donana,CSIC Estacion Biologica Donana,,,
Estonian Agricultultural University,,,,
ETH Zurich,Eidgenossiche Technische Hochschule Zurich,,,
European Forestry Institute,,,,
Evergreen State College,,,,
Evolution And Marine Biology University of California,University of California Santa Barbara,,,
Evolutionary Biology Centre,Uppsala University,Evolutionary Biology Centre,,
Fachstelle fur Pflanzenschutz,,,,
Facultad de Agronomia,Universidad de la Republica,Facultad de Agronomia,,
Farmers Edge,,,,
Fauna and Flora International,,,,
Federal Forest Reseach Center,Austrian Research Centre for Forests,,,Abbreviation BFW
Federal Research Center for Nature Conservation and Landscape Ecology,,,,
Federal Research Centre for Forestry and Forest Products BFH,Federal Research Centre for Forestry and Forest Products,,,Abbreiation BFH
Ferrum College,,,,
Field Museum Of Natural History,,,,
Finnish Environment Institute,,,,
Finnish Forest Research Institute,,,,
Florida Institute of Technology,,,,
Florida International University,,,,
Florida State University,,,,
Food and Agriculture Organization FAO,Food and Agriculture Organization,,,
Fordham University,,,,
Forest Research Institute,,,,
Forest Research lnstitute Malaysia (FRIM),Forest Research lnstitute Malaysia,,,
Forestry and Forest Products Research Institute,,,,
Forestry Comission Northern Research Station,Forestry Comission,Northern Research Station,,
Forestry Commission,,,,
Forests Department of Western Australia,,,,
Fort Valley State University,,,,
Free University Amsterdam,,,,
Freie Universitt Berlin,,,,
French Agricultural Research Centre for International Development CIRAD,French Agricultural Research Centre for International Development,,,
French National Institute for Agricultural Research Centre de Nancy,Institut National de la Recherche Agronomique,Centre Nancy,,
French National Institute for Agricultural Research INRA,Institut National de la Recherche Agronomique,,,
French National School of Forestry ENGREF,Ecole Nationale des Eaux et Forets,,,
Gainesville College,University of North Georgia,,,Gainesville state College merged with N Georgia College and State University
Georg August Universitat Gottingen,,,,
George Mason University,,,,
Georgia Experiment Station,,,,
Georgia Institute of Technology,,,,
Georgia Southern University,,,,
Georgia State University,,,,
Gorgan University of Agric Sci,,,,
Graduate University for Advanced Studies,,,,
Grass Genomics Testing Inc,,,,
Griffith University,,,,
Grinnell College,,,,
Gulbenkian Institute,,,,
Hampton University,,,,
Harvard University,,,,
Harvard University Arnold Arboretum,Harvard University,Arnold Arboretum,,
Hebrew University of Jerusalem,,,,
Helmholtz Centre for Environmental Research UFZ,,,,
Himeji City Aquarium,,,,
Hiroshima University,,,,
Holy Cross College,,,,
Horizon Ag LLC,,,,
Humboldt Universitat zu Berlin,,,,
Humboldt University Berlin,Humboldt Universitat zu Berlin,,,
Icbs Ufal And Oxford University,Universidade Federal de Alagoas,Instituto de Ciências Biológicas e da Saúde,University of Oxford,
Idaho State University,,,,
IFREMER,Institut Français de Recherche pour l'exploitation de la Mer,,,IFREMER
Illinois Natural History Survey,,,,
Illinois State University,,,,
IMEDEA,Instituto Mediterraneo de Estudios Avanzados,,,IMEDEA
Imperial College,Imperial College London,,,
Imperial College London,,,,
Imperial College Silwood Park,Imperial College London Silwood Park,,,
Imperial University,Imperial College London Silwood Park,,,
Indian Inst Science Bangalore,Indian Institute of Science,,,
Indian Institue of Science,Indian Institute of Science,,,
Indian Institute of Science,Indian Institute of Science,,,
Indiana University,,,,
Indiana University/Purdue University Fort Wayne,Indiana University Purdue University Fort Wayne,,,
INIBIOMA,Instituto de Investigaciones en Biodiversidad y Medioambiente,,,
INRA,Institut National de la Recherche Agronomique,,,
Institut Botanique,Universite Montpellier II,Institut Botanique,,
Institute for Agricultural Plant Physiology and Ecology,CONICET Instituto de Investigaciones Fisiologicas y Ecologicas Vinculadas a la Agricultura,,,
Institute for Landscape Ecology of Slovak Academy of Sciences,Institute of Landscape Ecology of Slovak Academy of Sciences,,,
Institute of Animal Evolutionary Morphology and Ecology,Russian Academy of Sciences,Severtsov Institute of Evolutionary Animal Morphology and Ecology,,
Institute of Geology and Biology,University of Tromso,Institute of Geology and Biology,,
Institute of Nature Conservation,Agricultural University of Norway,Department of Biology and Nature Conservation,,
Institute of Science and Technology,,,,
Institute of Terrestrial Ecology,,,,
Institute of Tropical Forestry,,,,
Instituto Boliviano de Investigacion Forestal,,,,
Instituto de Biociencias,Universidade de Sao Paulo,Instituto de Biociencias,,
Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo,,,,
Instituto de Recursos Naturalesand Agrobiologia,CSIC Instituto de Recursos Naturales y Agrobiologia Sevilla,,,
Instituto mediterraneo de Estudios Avanzados (IMEDEA),Instituto Mediterraneo de Estudios Avanzados,,,
Instituto Nacional de Pesquisas da Amazonia,,,,
Instituto Nacional de Pesquisas da Amazonia INPA,Instituto Nacional de Pesquisas da Amazonia,,,
Instituto Tecnologico de Costa Rica,,,,
Instituto Venezolano Investigaciones Cientificas (IVIC),Instituto Venezolano Investigaciones Cientificas,,,
INTA,Instituto Nacional de Tecnologia Agropecua,,,
INTA EEA Oliveros,Instituto Nacional de Tecnologia Agropecua EEA Oliveros,,,
Intelligent Solutions Group (ISG),Intelligent Solutions Group ,,,
International Center for Research in Agroforestry ICRAF,International Center for Research in Agroforestry,,,ICRAF
International Centre of Insect Physiology and Ecology,,,,
International Institute of Tropical Agriculture,,,,
International Institute of Tropical Forestry,,,,
International Plant Nutrition Institute,,,,
International Union for Conservation of Nature and Natural Resources,,,,IUCN
Investigador CONICET,CONICET Instituto Argentino de Investigaciones de las Zonas Aridas,,,IADIZA
Iowa State University,,,,
Israel Nature and National Parks Protection Authority,,,,
Istituto Sperimentale per la Selvicoltura,,,,
IUCN Conservation Centre,International Union for Conservation of Nature and Natural Resources,Conservation Centre,,IUCN
Jacklin Seed,,,,
Jaldin Botanique Nacional de Belgique,Jardin Botanique Nacional de Belgique,,,
James Cook University,ONE OF THESE IS JAMES COOK UNIVERSITY TOWNSVILLE,,,
James Cook University Townsville,,,,
Jawaharlal Nehru University,,,,
John Carroll University,,,,
Journal of Tropical Ecology,,,,
Justus Liebig Universitat,,,,
Kagoshima University,,,,
Kansas State University,,,,
Kenyon College,,,,
Kerala Agricultural University,,,,
Khorasan Agricultural and Natural Resources Res Ctr,Khorasan Agricultural and Natural Resources Research Center,,,
Kings College,Kings College London,,,
Kings College London,,,,
Kings Park and Botanic Gardens,,,,
Klamath Center for Conservation Research,,,,
Kyoto University,,,,
Kyushu University,,,,
La Selva Biological Station,Organization for Tropical Studies,La Selva Biological Station,,
La Trobe University,,,,
Labratory of General and Apllied Ichthyology,Museum National dHistoire Naturelle,Labratory of General and Apllied Ichthyology,,Theodore (first name)
Lake Forest College,,,,
Lakehead University,,,,
Lancaster University,,,,
Land Olakes Inc ,,,,
Landscape Ecology Unit,"SDA Forest Service, North Central Research Station",,,
Lanzhou University,,,,
Laval University,,,,
Lehman College,,,,
Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen,,,,
Leibniz Centre for Agricultural Landscape Research,,,,
Leiden University,,,,
Leuphana University of Luneburg,,,,
Liverpool John Moores University,,,,
Louisiana State University,,,,
lowa State University,,,,
LTS International Ltd,,,,
Ludwig Maximilians Universit<84>t M<81>nchen,Ludwig Maximilians Universitat Munchen,,,
Lund University,,,,
Macaulay Institute,,,,
Macaulay Land Use Research Institute,,,,
MacQuaire University,,,,
Macquarie University,,,,
Makarere University,,,,
Manaaki Whenua Landcare Research,,,,
Manchester Metropolitan University,,,,
Manomet Observatory,,,,
Marine Biological Laboratory,,,,
Marine Parks Center of Japan,,,,
Marshall University,,,,
Martin Luther University,,,,
Massey University,,,,
Max F Perutz Laboratories,,,,
Max Planck Institute for Chemical Ecology,,,,
Max Planck Institute for Demographic Research,,,,
McGill University,,,,
McMaster University,,,,
Meadowcreek Project,,,,
Merlewood Research Station,,,,
Miami University,,,,
Michigan State University,,,,
Michigan Technological University,,,,
Middlebury College,,,,
Miller Research LLC,,,,
Milwaukee Public Museum,,,,
Ministry of Agriculture of the USSR,,,,
Ministry of Technology Environment and Sciences,,,,
Ministry of the Environment,,,,
Mississippi State,Mississippi State University,,,
Mississippi State Univ,Mississippi State University,,,
Mississippi State University,Mississippi State University,,,
Missouri Botanical Garden,,,,
Moi University,,,,
Moline Technology Innovation Center,,,,
Monash University,,,,
Monks Wood Experiment Station,,,,
Monsanto,,,,
Montana State University,,,,
Moscow State University,,,,
Moss Landing Marine Laboratories,California State University Moss Landing Marine Laboratories,,,
Mount Makulu Research Station,,,,
Mount St Vicent Unviersity,,,,
Murdoch University,,,,
Museo De La Plata,,,,
Museo Paleontologico Egidio,Museo Paleontologico Egidio Feruglio,,,
Museu Nacional,Universidade Federal do Rio de Janeiro Museu Nacional,Universidade Federal do Rio de Janeiro Museu Nacional,,
Museum fu_r Naturkunde,Museum fur Naturkunde,,,
Museum National dHistoire Naturelle,,,,
Nanjing Agricultural University,,,,
Nanjing Forestry University,,,,
NASA Ames Research Center,,,,
National Audobon Society,,,,
National Biological Survey,,,,
National Botanical Institute,,,,
National Center for Agriculture and Veterinary Biotechnology,,,,
National Center for Atmospheric Research,,,,
National Center for Ecological Analysis and Synthesis,,,,
National Centre for Biological Sciences,,,,
National Council for Air and Stream Improvement,,,,
National Fish and Wildlife Forensics Laboratory,,,,
National Institute for Agronomic Research,,,,
National Institute of Food and Agriculture,,,,
National Institute of Water And Atmospheric Research,,,,
National Marine Fisheries Service,,,,
National Museum of Natural Sciences,,,,
National Natural History Museum Paris,Museum National dHistoire Naturelle,,,
National res Inst of science and tech for env and agriculture,National Research Institute of Science and Technology for Environment and Agriculture,,,
National Taipei University,,,,
National University of Ireland,,,,
National University of Rosario,,,,
National University of Singapore,,,,
Natural Environment Research Council,,,,
Natural History Museum,need to 2x each some are us some are UK,,,
Natural History Museum London,,,,
Nature Conservancy,,,,
Netherlands Institue of Ecology,Netherlands Institute of Ecology,,,
Netherlands Institute of Ecology,,,,
Netherlands Institute of Ecology; Wageningen University and Research Centre,Netherlands Institute of Ecology,,Wageningen University and Research Centre,
New England Wild Flower Society,,,,
New Mexico State University,,,,
New York Botanical Garden,,,,
New York University,,,,
New York Zoological Society,,,,
Newfoundland Forestry Center,,,,
NIOO,Netherlands Institue of Ecology,,,NIOO-KNAW
no one by this name,2x,,,
NOAA,National Oceanic and Atmospheric Administration,,,
NoInst,2x,,,
North Carolina A & T State University,North Carolina Agricultural and Technical State University,,,
North Carolina Agricultural and Technical State University,,,,
North Carolina State University,,,,
North Dakota State University,,,,
North West University,,,,
Northeastern University,,,,
Northern Arizona University,,,,
Northern Territory University,,,,
Northwest Research and Outreach Center,University of Minnesota,Northwest Research and Outreach Center,,
Northwestern University,,,,
Norwegian Institute for Nature Research,,,,
Norwegian University of Science and Technology,,,,
Notre Dame University,,,,
Noura Ziadi,Agriculture and Agri Food Canada,2x,,
Oak Ridge National Laboratory,,,,
Obafemi Awolowo University,,,,
Ohio,Ohio University,,,
Ohio State University,,,,
Ohio University,,,,
Ohio University Main Campus,Ohio University,,,
Oklahoma Museum of Natural History,,,,
Oklahoma State University,,,,
Oklahoma University,University of Oklahoma,,,
Old Dominion University,,,,
Open University,,,,
Oregon State University,,,,
Oregon Trail,2x,,,
Organization for Tropical Studies,,,,
Oxford Forestry Institute,University of Oxford,Oxford Forestry Institute,,
Oxford University,University of Oxford,,,
Paso Pacifico,,,,
Peking University,,,,
Penn State University,Pennsylvania State University,,,
Pennsylvania,Pennsylvania State University,,,
Pennsylvania State University,,,,
People and Nature Consulting International,,,,
Pepperdine University,,,,
Percy FitzPatrick Institute of African Ornithology,,,,
PhiIipps University Marburg,PhiIipps University Marburg,,,
Philipps University Marburg,PhiIipps University Marburg,,,
Pioneer Hi Bred Intl Inc,Pioneer Hi Bred International Inc,,,
Plant Sciences Department,University of Tennessee,Plant Sciences Department,,
Plymouth University,,,,
Polish Academy of Science,,,,
Pomona College,,,,
Pondicherry University,,,,
Ponteficio Collegio Irlandese,,,,
Pontifica Universidad Catolica de Chile,Pontificia Universidad Catolica de Chile,,,
Pontificia Universidad Catolica de Chile,,,,
Portland State University,,,,
Potash Corp,,,,
Prescott College,,,,
Princeton University,,,,
Punjab Agricultural University,,,,
Purdue University,,,,
Queens U,Queens University,,,
Queens University,Queens University,,,
Queens University Kingston,Queens University,,,
Radboud University,Radboud University Nijmegen,,,
Radboud University Nijmegen,,,,
Rensselaer Polytechnic Institute,,,,
Research and Development MWRDGC,Metropolitan Water Reclamation District of Greater Chicago,Research and Development,,MWRDGC
Research Institute for Agrobiology and Soil Fertility,,,,
Research Institute for Nature Management,,,,
Retired No Affiliation Listed,Unaffiliated,,,
Rice Research and Extension Center,University of Arkansas,Rice Research and Extension Center,,
Rice University,,,,
Riverina College of Advanced Education,,,,
Roscoff Marine Station UPMC,CNRS Station Biologique de Roscoff ,,,
Rosepine Research Station,Louisiana State University,Rosepine Research Station,,
Roskilde University,,,,
Rothamsted Research North Wyke Research,Rothamsted Research,North Wyke Research,,
Royal Botanic Gardens,Royal Botanic Gardens Kew,,,
Royal Botanic Gardens Melbourne,Royal Botanic Gardens Kew,,,
Royal Holloway,Royal Holloway University of London,,,
Royal Holloway University of London,,,,
Royal Veterinary and Agricultural University,,,,
Royal Veterinary andAgricultural University,Royal Veterinary and Agricultural University,,,
Rutgers University,,,,
Salzburg University,,,,
Samuel Roberts Noble Foundation,,,,
San Diego State University,,,,
San Francisco State University,,,,
Santa Fe Institute,,,,
Sao Paulo State University,Universidade Estadual Paulista,,,
Savannah River Ecology Laboratory,,,,
School of Plant Environmental and Soil Sciences,Louisiana State University,School of Plant Environmental and Soil Sciences,,
Scotts Miracle Gro,,,,
Scripps Institution of Oceanography,University of California San Diego,Scripps Institution of Oceanography,,
Service Canadien des Forets,Canadia Forest Service,,,
Shahid Beheshti University,,,,
Shandong Academy of Agricultural Sciences,,,,
Siberian Branch of the Academy of Sciences,,,,
Siberian Central Botanical Garden,,,,
Simon Fraser University,,,,
SLU,Swedish University of Agricultural Sciences,,,SLU
Smith College,,,,
Smithsonian Environmental Research Center,,,,
Smithsonian Institution,"SEIDENSTZICKER& Kleiman = Smithsonian National Zoological Park, Labandeira: Smithsonian National Museum of Natural History",,,
Smithsonian Migratory Bird Center,,,,
Smithsonian National Museum of Natural History,,,,
Smithsonian Tropical Research Institute,,,,
Soil Health Institute,,,,nonprofit
South African National Parks,,,,
South Dakota State University,,,,
South Pacific Fertilizers Ltd,,,,
Southeast Missouri State University,,,,
Southern Cross University,,,,
Southern Illinois University,,,,
Southwest Missouri State University,Missouri State University,,,
Southwest Res Ext Center,Kansas State University ,Southwest Research and Extension Center,,
Southwest Texas State University,,,,
St Lawrence Centre,Environment and Climate Change Canada,St Lawrence Centre,,agency
St Louis University,,,,
Stanford University,,,,
State University of New York,VARIOSUS NEED TO 2x,"Burgess, Yanai, Charles Hall, Fragoso,  = SUNY Env Sci Forestry",,
State University of New York at Binghamton,State University of New York Binghamton,,,
State University of New York Binghamton,,,,
State University of New York Stony Brook,,,,
State University of New York Syracuse,,,,
Station Biologique de la Tour du Valat,Tour du Valat,,,research station
Station DEtudes des Gorilles et Chimpanzes,,,,SEGC
Stockholm International Peace Research Institute,,,,
Stockholm Resilience Centre,,,,nonprofit
Stockholm University,,,,
Stony Brook University,State University of New York Stony Brook,,,
STRI,Smithsonian Tropical Research Institute,,,
Sun Yat Sen University,,,,
Sundance Ranch LLC,,,,
Swedish University of Agricultural Sciences,,,,
Swiss Federal Institute for Forest Snow and Landscape Research,Swiss Federal Research Institute for Forest Snow and Landscape Research,,,Swiss Federal Institute WSL
Swiss Federal Institute WSL,Swiss Federal Research Institute for Forest Snow and Landscape Research,,,
Swiss Federal Research Institute,Swiss Federal Research Institute for Forest Snow and Landscape Research,,,
Swiss Federal Research Institute WSL,Swiss Federal Research Institute for Forest Snow and Landscape Research,,,
Syngenta Crop Protection,,,,
Syngenta Crop Protection Inc,Syngenta Crop Protection,,,
Syngenta Seeds Inc,Syngenta Seeds,,,
Syracuse,State University of New York College of Environmental Science and Forestry,,,
Syracuse University,,,,
Tartu University,,,,
Technion Israel Institute of Technology,,,,
Technische Universitat Darmstadt,,,,
Tel Aviv University,,,,
Temple Inland Forest Products,,,,
Texas AandM,Texas A & M University,,,
Texas AandM Univ,Texas A & M University,,,
Texas AandM University,Texas A & M University,,,
Texas State University,,,,
Texas Tech University,,,,
Texas Technical University,,,,
Tidewater Agricultural Res and Ext Ctr,Virginia Polytechnic Institute and State University,Tidewater Agricultural Research and Extension Center,,
Trent University,,,,
Trier University,,,,
Trinity College Botanic Garden,,,,
Tropenbos International,,,,ngo
Tropical Research and Training Center,,,,
Tropical Savannas Management Cooperative Research Centre and  Sustainable Ecosystems,Cooperative Research Centre Tropical Savannas Management,,,
Tufts University,,,,
Tulane University,,,,
Umea University,,,,
UMR EcoFoG,CNRS Unite mixte de recherche Ecologie des forets de Guyane,,,UMR EcoFoG
United Nations University,,,,
Univ of Allahabad,University of Allahabad,,,
Univ de Sao Paulo,Universidade de Sao Paulo,,,
Univerity of Utah,,,,
Universidad Autonoma,Universidad Autonoma de Madrid,,,
Universidad Complutense,Universidad Complutense Madrid,,,
Universidad de Alicante,,,,
Universidad de Chile,,,,
Universidad de Concepcion,,,,
Universidad de Costa Rica,,,,
Universidad De La Laguna,,,,
Universidad de Vigo,,,,
Universidad Mayor de San Simon Cochabamba,,,,
Universidad Nacional Agraria,,,,
Universidad Nacional Aut<a2>noma de M<82>xico,Universidad Nacional Autonoma de Mexico,,,NEED TO GET PEOPLE BY CAMPUS
Universidad Nacional Autonoma de Mexico,,,,
Universidad Nacional del Comahue,,,,
Universidad Politecnica de Madrid,,,,
Universidade de Brasilia,,,,
Universidade de S?o Paulo,Universidade de Sao Paulo,,,
Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas,,,
Universidade Estadual Paulista,Universidade Estadual Paulista Rio Claro,,,
Universidade Estadual Paulista (UNESP),Universidade Estadual Paulista Rio Claro,,,
Universidade Federal de Goias,,,,
Universidade Federal De Uberlandia,Universidade Federal de Uberlandia,,,
Universidade Federal do Rio Grande do Norte (UFRN),Universidade Federal do Rio Grande do Norte,,,
Universit<82> Paris Sud,Universite Paris Sud,,,
Universitat Pompeu Fabra,,,,
Universite Claude Bernard Lyon 1,,,,
Universite de Lausanne,,,,
Universite de Moncton,,,,
Universite de Montreal,,,,
"Universite de Montreal""",Universite de Montreal,,,
Universite de Nantes,,,,
Universite de Paris Sud,Universite Paris Sud,,,
Universite de Sherbrooke,,,,
Universite du Quebec,University du Quebec a Montreal,,,
Universite Joseph Fourier,,,,
Universite Montpellier II,,,,
Universite Pierre and Marie Curie,,,,
Universiti Sains,,,,
University College,University College London,,,
University College Cork,,,,
University College Dublin,,,,
University College London,,,,
University College of North Wales,,,,
University du Quebec a Montreal,,,,
University Kebangsaan,,,,
University Lodz,,,,
University of Aarhus,,,,
University of Aberdeen,,,,
University of Adelaide,,,,
University of Agricultural Science Bangalore,,,,
University of Agricultural Sciences,,,,
University of Agriculture,,,,
University of Akron,,,,
University of Akron Wayne College,,,,
University of Alabama,University of Alabama Tuscaloosa,,,
University of Alabama Huntsville,,,,
University of Alaska,University of Alaska Fairbanks,,,
University of Alaska Anchorage,,,,
University of Alaska Fairbanks,,,,
University of Alberta,,,,
University of Amsterdam,,,,
University of Antwerp,,,,
University of Arizona,,,,
University of ArKansas,University of Arkansas Fayetteville,,,
University of ArKansas Little Rock,,,,
University of Auckland,,,,
University of Basel,,,,
University of Bergen,,,,
University of Bern,,,,
University of Birmingham,,,,
University of Bologna,,,,
University of Bonn,,,,
University of Botswana,,,,
University of Bremen,,,,
University of British Columbia,University of British Columbia Vancouver,,,
University of British Columbia Okanagan,,,,
University of Buenos Aires,,,,
University of Calgary,,,,
University of California,MANY TO SORT OUT,,,
University of California Berkeley,,,,
University of California Davis,,,,
University of California Irvine,,,,
University of California Los Angeles,,,,
University of California Merced,,,,
University of California Riverside,,,,
University of California San Diego,,,,
University of California Santa Barbara,,,,
University of California Santa Cruz,,,,
University of Cambridge,,,,
University of Canberra,,,,
University of Canterbury,,,,
University of Cape Town,,,,
