INST,COUNTRY,editor_id
simon fraser university,Canada,2640
simon fraser university,Canada,3661
simon fraser university,Canada,NA
st lawrence centre,Canada,779
thompson rivers university,Canada,2149
trent university,Canada,3569
trent university,Canada,NA
unaffiliated,Canada,2473
universite de moncton,Canada,2593
universite laval quebec,Canada,1029
universite laval quebec,Canada,3431
university du quebec a montreal,Canada,2155
university du quebec a montreal,Canada,2892
university of alberta,Canada,163
university of alberta,Canada,189
university of alberta,Canada,573
university of alberta,Canada,899
university of alberta,Canada,1079
university of alberta,Canada,1130
university of alberta,Canada,1433
university of alberta,Canada,1496
university of alberta,Canada,1738
university of alberta,Canada,1880
university of alberta,Canada,2307
university of alberta,Canada,2448
university of alberta,Canada,3074
university of alberta,Canada,3283
university of alberta,Canada,3287
university of alberta,Canada,3390
university of alberta,Canada,3812
university of alberta,Canada,NA
university of british columbia,Canada,7
university of british columbia,Canada,500
university of british columbia,Canada,876
university of british columbia,Canada,1125
university of british columbia,Canada,1779
university of british columbia,Canada,2295
university of british columbia,Canada,2607
university of british columbia,Canada,2841
university of british columbia,Canada,3202
university of british columbia,Canada,3234
university of british columbia,Canada,3342
university of british columbia,Canada,3425
university of british columbia,Canada,NA
university of british columbia okanagan,Canada,1672
university of british columbia okanagan,Canada,3827
university of british columbia vancouver,Canada,424
university of british columbia vancouver,Canada,500
university of british columbia vancouver,Canada,556
university of british columbia vancouver,Canada,732
university of british columbia vancouver,Canada,770
university of british columbia vancouver,Canada,862
university of british columbia vancouver,Canada,876
university of british columbia vancouver,Canada,1754
university of british columbia vancouver,Canada,1866
university of british columbia vancouver,Canada,2076
university of british columbia vancouver,Canada,2348
university of british columbia vancouver,Canada,2607
university of british columbia vancouver,Canada,2744
university of british columbia vancouver,Canada,2750
university of british columbia vancouver,Canada,2828
university of british columbia vancouver,Canada,3234
university of british columbia vancouver,Canada,3337
university of british columbia vancouver,Canada,3425
university of british columbia vancouver,Canada,3471
university of british columbia vancouver,Canada,3777
university of british columbia vancouver,Canada,3904
university of british columbia vancouver,Canada,3907
university of calgary,Canada,623
university of calgary,Canada,951
university of calgary,Canada,983
university of calgary,Canada,1525
university of calgary,Canada,1920
university of calgary,Canada,2165
university of calgary,Canada,3888
university of guelph,Canada,141
university of guelph,Canada,147
university of guelph,Canada,293
university of guelph,Canada,418
university of guelph,Canada,589
university of guelph,Canada,1585
university of guelph,Canada,1672
university of guelph,Canada,1785
university of guelph,Canada,1992
university of guelph,Canada,2047
university of guelph,Canada,3175
university of guelph,Canada,3201
university of guelph,Canada,3677
university of lethbridge,Canada,2147
university of manitoba,Canada,1941
university of manitoba,Canada,2655
university of manitoba,Canada,NA
university of montreal,Canada,2373
university of montreal,Canada,2857
university of new brunswick,Canada,1007
university of new brunswick,Canada,2138
university of new brunswick,Canada,2180
university of new brunswick,Canada,3356
university of new brunswick,Canada,NA
university of northern british columbia,Canada,NA
university of ottawa,Canada,1665
university of ottawa,Canada,3213
university of quebec,Canada,244
university of quebec,Canada,2790
university of quebec,Canada,2892
university of quebec,Canada,3828
university of quebec in abitibi temiscamingue,Canada,3828
university of regina,Canada,2856
university of regina,Canada,3504
university of saskatchewan,Canada,1153
university of saskatchewan,Canada,2365
university of saskatchewan,Canada,3865
university of saskatchewan,Canada,NA
university of sherbrooke,Canada,355
university of sherbrooke,Canada,1116
university of sherbrooke,Canada,2292
university of sherbrooke,Canada,2366
university of sherbrooke,Canada,2590
university of toronto,Canada,2
university of toronto,Canada,47
university of toronto,Canada,908
university of toronto,Canada,1078
university of toronto,Canada,1782
university of toronto,Canada,1892
university of toronto,Canada,2201
university of toronto,Canada,2234
university of toronto,Canada,2322
university of toronto,Canada,2373
university of toronto,Canada,2377
university of toronto,Canada,2639
university of toronto,Canada,2750
university of toronto,Canada,2999
university of toronto,Canada,3108
university of toronto,Canada,3209
university of toronto,Canada,3276
university of toronto,Canada,3487
university of toronto,Canada,3805
university of toronto,Canada,3847
university of toronto mississauga,Canada,1373
university of toronto mississauga,Canada,2421
university of toronto mississauga,Canada,2850
university of toronto mississauga,Canada,3878
university of toronto scarborough,Canada,2271
university of victoria,Canada,241
university of victoria,Canada,738
university of victoria,Canada,NA
university of waterloo,Canada,374
university of waterloo,Canada,1995
university of western ontario,Canada,1310
university of western ontario,Canada,1311
university of western ontario,Canada,2260
university of windsor,Canada,2727
university of windsor,Canada,NA
western university canada,Canada,NA
xitebio technologies inc,Canada,2288
york university,Canada,74
york university,Canada,513
york university,Canada,514
york university,Canada,2430
york university,Canada,NA
NA,Canada,1195
NA,Canada,2309
NA,Canada,2405
NA,Canada,2573
NA,Canada,2661
NA,Canada,3030
NA,Canada,3031
NA,Canada,3226
NA,Canada,3414
NA,Canada,3572
NA,Canada,3718
NA,Canada,NA
