"","INST","COUNTRY"
"832","University of New South Wales","Australia"
"870","University of Pennsylvania","Australia"
"871","University of Queensland","Australia"
"926","University of Sydney","Australia"
"980","University of Tasmania","Australia"
"984","University of the Sunshine","Australia"
"985","University of Waikato","Australia"
"986","University of Western Australia","Australia"
"1001","University of Wollongong","Australia"
"1007","Vegetation Survey of Western Australia","Australia"
"1011","Victoria University of Wellington","Australia"
"1012","Victorian School of Forestry","Australia"
"1015","Vrije Universiteit Amsterdam","Australia"
"1017","Western Australian Ecology Centre","Australia"
"1021",NA,"Australia"
"1295","Austrian Research Centre for Forests (BFW)","Austria"
"1297","Federal Forest Reseach Center","Austria"
"1304","Innsbruck","Austria"
"1318","Max F. Perutz Laboratories","Austria"
"1321","Naturhistorisches Museum Wien","Austria"
"1322","University of Agricultural Sciences","Austria"
"1328","University of Natural Resources and Applied Life Sciences BOKU","Austria"
"1341","University of Pittsburgh","Austria"
"1344","University of Salzburg","Austria"
"1348","University of Veterinary Medicine","Austria"
"1349","University of Vienna","Austria"
"1354",NA,"Austria"
"1404","Antwerp","Belgium"
"1414","Jaldin Botanique Nacional de Belgique","Belgium"
"1419","Universite Libre de Bruxelles","Belgium"
"1420","University of Antwerp","Belgium"
"1437","University of Ghent","Belgium"
"1448","University of Leuven","Belgium"
"1456",NA,"Belgium"
"1480","Instituto Boliviano de Investigacion Forestal","Bolivia"
"1486","Universidad Mayor de San Simon Cochabamba","Bolivia"
"1490","University of Botswana","Botswana"
"1495","Biological Dynamics of Forest Fragments Project","Brazil"
"1502","Brazilian Agricultural Research Corporation CIRAD","Brazil"
"1512","Instituto de Biociencias","Brazil"
"1517","Instituto de Pesquisa Ambiental da Amazonia","Brazil"
"1518","Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo","Brazil"
"1540","Instituto Nacional de Pesquisas da Amazonia","Brazil"
"1557","Instituto Nacional de Pesquisas da Amazonia INPA","Brazil"
"1561","missing","Brazil"
"1563","Museu Nacional","Brazil"
"1565","Sao Paulo State University","Brazil"
"1566","Univ. de Sao Paulo","Brazil"
"1573","Universidade de Brasilia","Brazil"
"1578","Universidade de S?o Paulo","Brazil"
"1581","Universidade Estadual de Campinas (UNICAMP)","Brazil"
"1594","Universidade Estadual Paulista","Brazil"
"1598","Universidade Estadual Paulista (UNESP)","Brazil"
"1602","Universidade Federal de Alagoas","Brazil"
"1603","Universidade Federal de Goias","Brazil"
"1609","Universidade Federal de Lavras","Brazil"
"1612","Universidade Federal De Uberlandia","Brazil"
"1614","Universidade Federal do Rio Grande do Norte (University of FloridaRN)","Brazil"
"1617","University of Sao Paulo","Brazil"
"1636",NA,"Brazil"
"1678","Icbs Ufal And Oxford University","Brazil And UK"
"1679","Brunei Museum","Brunei"
"1681","University of California Santa Diego","California"
"1682","Agriculture and Agri Food","Canada"
"1683","Agriculture and Agri Food Canada","Canada"
"1708","Alberta","Canada"
"1709","Beaverlodge res farm","Canada"
"1711","Brock University","Canada"
"1714","Canadian Forest Products Ltd","Canada"
"1718","Canadian Forest Service","Canada"
"1732","Carleton University","Canada"
"1743","Centre dEcologie Fonctionnelle et Evolutive","Canada"
"1744","Concordia University","Canada"
"1752","Dalhousie University","Canada"
"1760","DOUBLE CHECK","Canada"
"1764","Guelph","Canada"
"1766","Lakehead University","Canada"
"1767","Laval University","Canada"
"1770","McGill University","Canada"
"1812","McMaster University","Canada"
"1815","Memorial Uni of Newfoundland","Canada"
"1816","Memorial University of Newfoundland","Canada"
"1817","missing","Canada"
"1864","Mount St. Vicent Unviersity","Canada"
"1865","Newfoundland","Canada"
"1866","Newfoundland Forestry Center","Canada"
"1870","no one by this name","Canada"
"1871","Noura Ziadi","Canada"
"1874","Pacific Agri Food Research Centre","Canada"
"1875","Queens U","Canada"
"1880","Queens University","Canada"
"1891","Queens University Kingston","Canada"
"1892","Regina","Canada"
"1900","Rice University","Canada"
"1902","Sackville","Canada"
"1909","Saskatchewan","Canada"
"1917","Service Canadien des Forets","Canada"
"1921","Simon Fraser University","Canada"
"1956","Simon Fraser University","Canada"
"1959","St. Lawrence Centre","Canada"
"1963","Thompson Rivers University","Canada"
"1970","Toronto","Canada"
"1973","Trent University","Canada"
"1985","Université de Montréal","Canada"
"1987","Université du Quebec","Canada"
"1989","Universite de Moncton","Canada"
"1993","Universite de Montreal","Canada"
"1996","UniversitÃ© de Montreal","Canada"
"1997","Universite de Sherbrooke","Canada"
"2000","Universite Laval Quebec","Canada"
"2007","Universite of Montreal","Canada"
"2024","University du Quebec a Montreal","Canada"
"2031","University of Alberta","Canada"
"2108","University of British Columbia","Canada"
"2255","University of British Columbia Okanagan","Canada"
"2258","University of British Columbia Vancouver","Canada"
"2259","University of Calgary","Canada"
"2277","University of California-Davis","Canada"
"2278","University of Guelph","Canada"
"2334","University of Iowa","Canada"
"2346","University of Lethbridge","Canada"
"2353","University of Manitoba","Canada"
"2364","University of Maryland","Canada"
"2366","University of New Brunswick","Canada"
"2383","University of of Manitoba","Canada"
"2388","University of Ottawa","Canada"
"2397","University of Quebec in Abitibi Temiscamingue","Canada"
"2399","University of Regina","Canada"
"2427","University of Saskatchewan","Canada"
"2429","University of Sherbrooke","Canada"
"2440","University of St. Andrews","Canada"
"2441","University of the Witwatersrand","Canada"
"2442","University of Toronto","Canada"
"2563","University of Toronto Mississauga","Canada"
"2576","University of Victoria","Canada"
"2581","University of Waterloo","Canada"
"2590","University of Western Ontario","Canada"
"2597","University of Windsor","Canada"
"2600","University of Wyoming","Canada"
"2603","Vancouver","Canada"
"2616","XiteBio Technologies Inc","Canada"
"2620","York University","Canada"
"2624",NA,"Canada"
"2990","CIEP","Chile"
"2991","Duke University","Chile"
"2996","Pontifica Universidad Catolica de Chile","Chile"
"2997","Pontificia Universidad Catolica de Chile","Chile"
"3010","Santiago","Chile"
"3014","Universidad de Chile","Chile"
"3019","Universidad de Concepcion","Chile"
"3022","University of Chile","Chile"
"3026",NA,"Chile"
"3027","Academica Sinica","China"
"3045","Beijing","China"
"3047","Beijing Forestry University","China"
"3051","Beijing Normal University","China"
"3060","China Agricultural University","China"
"3069","Chinese Academy of Sciences","China"
"3106","Henan University","China"
"3107","Lanzhou University","China"
"3110","missing","China"
"3111","Nanjing Agricultural University","China"
"3115","Nanjing Forestry University","China"
"3127","National University of Singapore","China"
"3134","Peking University","China"
"3137","Pekinn","China"
"3138","Shandong Academy of Agricultural Sciences","China"
"3145","Sun Yat Sen University","China"
"3146","University of Hong Kong","China"
"3168","Xishuangbanna Tropical Botanical Garden","China"
"3178","Xishuangbanna Tropical Botanical Garden ","China"
"3180",NA,"China"
"3191","Bogota","Colombia"
"3192","University of Los Andes","Colombia"
"3195",NA,"Colombia"
"3196","Center for Tropical Agricultural Research and Education","Costa Rica"
"3219","Instituto Tecnologico de Costa Rica","Costa Rica"
"3224","La Selva Biological Station","Costa Rica"
"3227","Organization for Tropical Studies","Costa Rica"
"3232","Penn State University","Costa Rica"
"3236","Tropical Research and Training Center","Costa Rica"
"3238","Universidad de Costa Rica","Costa Rica"
"3241",NA,"Costa Rica"
"3246","Agricultural Institute Osijek","Croatia"
"3250","Czech Academy of Sciences","Czech Republic"
"3258","Institute of Animal Evolutionary Morphology and Ecology","Czech Republic"
"3259","University of Agriculture","Czech Republic"
"3264","University of Ceske Budejovice","Czech Republic"
"3265","University of South Bohemia","Czech Republic"
"3266",NA,"Czech Republic"
"3277",NA,"Czech Republicch Republic"
"3278","","Denmark"
"3282","Aarhus University","Denmark"
"3283","Copenhagen","Denmark"
"3296","Copenhagen University","Denmark"
"3306","Danish Forest and Landscape Research Institute","Denmark"
"3313","missing","Denmark"
"3320","National Environmental Research Institute","Denmark"
"3321","Riso DTUniversity of National Laboratory for Sustainable Energy","Denmark"
"3326","Roskilde University","Denmark"
"3336","Royal Veterinary and Agricultural University","Denmark"
"3348","Royal Veterinary andAgricultural University","Denmark"
"3350","Swiss Federal Research Institute WSL","Denmark"
"3355","University of Aarhus","Denmark"
"3368","University of Copenhagen","Denmark"
"3397","University of Tennessee","Denmark"
"3398",NA,"Denmark"
"3451","Agricultural Research Center","Egypt"
"3457","Alexandra University","Egypt"
"3458","(Retired) Natural History Museum London","England"
"3462","Ascot","England"
"3463","Bristol","England"
"3477","British Antarctic Survey","England"
"3479","Durham University","England"
"3484","Imperial College","England"
"3493","Lancaster","England"
"3504","Marine Biological Association","England"
"3520","missing","England"
"3522","Monks Wood Experiment Station","England"
"3528","N/A","England"
"3530","Natural History Museum","England"
"3538","Open University","England"
"3548","Reading","England"
"3561","Rothamsted Research","England"
"3562","Royal Holloway","England"
"3564","University of Cambridge","England"
"3589","University of East Anglia","England"
"3590","University of Exeter","England"
"3607","University of Kent","England"
"3612","University of London","England"
"3632","University of Oxford","England"
"3637","University of Sheffield","England"
"3683","University of Sussex","England"
"3687","York","England"
"3703","Zoological Society of London","England"
"3720","Estonian Agricultultural University","Estonia"
"3728","Tartu","Estonia"
"3738","Tartu University","Estonia"
"3743","University of Tartu","Estonia"
"3751",NA,"Estonia"
"3762","Addis Ababa University","Ethiopia"
"3765","Center of Marine Sciences of Algarve Universidade","Faro, Portugal"
"3766","South Pacific Fertilizers Ltd.","Fiji"
"3770","European Forestry Institute","Finland"
"3781","Finnish Environment Institute","Finland"
"3782","Finnish Forest Research Institute","Finland"
"3808","Kings College London","Finland"
"3809","no one by this name","Finland"
"3814","University of Helsinki","Finland"
"3921","University of Joensuu","Finland"
"3937","University of Jyvaskyla","Finland"
"3943","University of Oulu","Finland"
"3951","University of Turku","Finland"
"3970",NA,"Finland"
"4088"," Université Claude Bernard Lyon 1","France"
"4091","Centre dEcologie des Ressources Renouvelables","France"
"4092","Centre dEcologie Fonctionnelle et Evolutive CNRS","France"
"4104","Centre National de la Recherche Scientifique","France"
"4111","CNRS","France"
"4116","CNRS  Institut des Sciences de lEvolution Montpellier","France"
"4117","CNRS Centre dEcologie Fonctionnelle et Evolutive","France"
"4120","CNRS Montellier","France"
"4123","CSIRO European Laboratory","France"
"4125","CSIRO Sustainable Ecosystems","France"
"4129","double check","France"
"4143","Ecole Normale Sup<82>rieure","France"
"4144","Ecole Normale Superieure","France"
"4156","French Agricultural Research Centre for International Development CIRAD","France"
"4163","French National Institute for Agricultural Research Centre de Nancy","France"
"4169","French National Institute for Agricultural Research INRA","France"
"4174","French National School of Forestry ENGREF","France"
"4179","IFREMER","France"
"4180","Institut Botanique","France"
"4189","Institut national de recherche en sciences et technologies pour lenvironnement et lagriculture","France"
"4192","Laboratoire Arago","France"
"4197","Laboratoire Associe de Modelisation des Plantes (AMAP)","France"
"4201","Labratory of General and Apllied Ichthyology","France"
"4203","Luminy Universite d Aix Marseille","France"
"4204","missing","France"
"4208","Montpellier","France"
"4211","National History Museum Paris","France"
"4243","National Institute for Agronomic Research","France"
"4249","National Natural History Museum Paris","France"
"4256","Paul Sabatier University","France"
"4257","Roscoff Marine Station UPMC","France"
"4258","St. de Pytosociologie Fondamental","France"
"4260","Station Biologique de la Tour du Valat","France"
"4262","Universit‚ Montpellier II","France"
"4267","Universit<82> Paris Sud","France"
"4269","Universite Claude Bernard Lyons","France"
"4276","Universite de Montreal","France"
"4282","Universite de Nantes","France"
"4283","Universite de Paris Sud","France"
"4303","Universite de Rennes","France"
"4307","Universite Joseph Fourier","France"
"4315","UniversitÃ© Joseph Fourier","France"
"4318","Universite Montpellier","France"
"4331","Universite Montpellier II","France"
"4335","Universite Pierre Et Marie Curie","France"
"4340","University of Cambridge","France"
"4345","University of Toulouse","France"
"4350","University Paris Sud 11","France"
"4367",NA,"France"
"4538","INRA","French Guiana"
"4539","UMR EcoFoG","French Guiana"
"4541","Station DEtudes des Gorilles et Chimpanzes (SEGC)","Gabon"
"4557","Alfred Wegener Institut fur Polar und Meeresforschung","Germanny"
"4558","Albert Ludwigs UniversitatFreiburg","Germany"
"4561","Bavarian Forest National Park","Germany"
"4562","Carl von  University","Germany"
"4564","Carl von  University Oldenburg","Germany"
"4569","Christian Albrechts Universitat Kiel","Germany"
"4574","CINVESTAV","Germany"
"4578","Federal Research Center for Nature Conservation and Landscape Ecology","Germany"
"4587","Federal Research Centre for Forestry and Forest Products BFH","Germany"
"4595","Free University of Berlin","Germany"
"4600","Freie Universitï¿½t Berlin","Germany"
"4602","Haus Nr.9","Germany"
"4603","Helmholtz Centre for Environmental Research UFZ University of FloridaZ","Germany"
"4616","Humboldt University Berlin","Germany"
"4620","Humboldt University of Berlin","Germany"
"4625","International University Brennen","Germany"
"4629","J.W. Goethe University Frankfurt am Main","Germany"
"4632","Jena","Germany"
"4637","Justus Liebig Universitat","Germany"
"4638","Lehrstuhl fur Landschaftsokologie der Technischen Universitat Munchen","Germany"
"4639","Leibniz Centre for Agricultural Landscape Research","Germany"
"4643","Leibniz Institut fur Meereswissenschaften IFMGEOMAR","Germany"
"4644","Leibniz Institute for Zoo and Wildlife Research","Germany"
"4649","Leuphana University of LŸneburg","Germany"
"4651","Ludwig Maximilians Universit<84>t M<81>nchen","Germany"
"4653","Martin Luther University","Germany"
"4654","Max Planck Institute for Behavioral Physiology","Germany"
"4655","Max Planck Institute for Chemical Ecology","Germany"
"4660","Max Planck University","Germany"
"4665","missing","Germany"
"4706","MPI Jena","Germany"
"4713","Museum fu_r Naturkunde","Germany"
"4715","Oak Ridge National Laboratory","Germany"
"4726","PhiIipps University Marburg","Germany"
"4732","Philipps University Marburg","Germany"
"4740","Purdue University","Germany"
"4741","Salzburg University","Germany"
"4742","Technical University of Dresden","Germany"
"4754","Technische UniversitŠt Darmstadt","Germany"
"4756","Trier University","Germany"
"4759","TUniversity of Dresden","Germany"
"4762","Ulm","Germany"
"4765","United Nations University","Germany"
"4772","Universitat Osnabruck","Germany"
"4787","University of Bayreuth","Germany"
"4788","University of Bonn","Germany"
"4789","University of Bremen","Germany"
"4798","University of Cologne","Germany"
"4806","University of FloridaZ Centre for Environmental Research","Germany"
"4814","University of FloridaZ Centre for Environmental Research Leipzig Halle","Germany"
"4818","University of Freiburg","Germany"
"4835","University of Göttingen","Germany"
"4837","University of Gottingen","Germany"
"4857","University of Hamburg","Germany"
"4858","University of Iowa","Germany"
"4863","University of Kaiserslautern","Germany"
"4870","University of Leipzig","Germany"
"4874","University of Munich","Germany"
"4878","University of Oldenberg","Germany"
"4880","University of Oldenburg","Germany"
"4881","University of Potsdam","Germany"
"4889","University of Querzburg","Germany"
"4890","University of Regensburg","Germany"
"4903","University of T_bingen","Germany"
"4908","University of Trieste","Germany"
"4909","University of Ulm","Germany"
"4912","University of Western Ontario","Germany"
"4913","University of Wurzburg","Germany"
"4948","US Forest Service","Germany"
"4954","US Geological Survey/NRII","Germany"
"4964",NA,"Germany"
"5436","Forest Research Institute","Greece"
"5447","Institute of Marine Biology of Crete","Greece"
"5449","missing","Greece"
"5456","University of Thessaloniki","Greece"
"5460","University of Hong Kong","Hong Kong"
"5481",NA,"Iceland"
"5485","Ashoka Trust for Research in Ecology and the Environment","India"
"5489","Bidhan Chandra Krishi Viswavid","India"
"5496","Cranfield University","India"
"5497","French Institute of Pondicherry","India"
"5499","Indian Forest Service","India"
"5502","Indian Inst Science Bangalore","India"
"5507","Indian Institute of Science","India"
"5522","Jawaharlal Nehru University","India"
"5563","Kerala Agricultural University","India"
"5588","Kerala Forest Research Institute","India"
"5589","missing","India"
"5590","National Centre for Biological Sciences","India"
"5591","Pondicherry University","India"
"5595","Punjab Agricultural University","India"
"5602","Univ of Allahabad","India"
"5604","University of Agricultural Science Bangalore","India"
"5607","University of Delhi","India"
"5608","Wildlife Conservation Society","India"
"5615","Wildlife Institute of India","India"
"5618",NA,"India"
"5623","Center for International Forestry Research CIFOR","Indonesia"
"5642","CIFOR","Indonesia"
"5645","Fauna and Flora International","Indonesia"
"5647","Nature Conservancy","Indonesia"
"5651","People and Nature Consulting International","Indonesia"
"5653","Gorgan University of Agric. Sci.","Iran"
"5657","Khorasan Agricultural and Natural Resources Research Center","Iran"
"5660","Shahid Beheshti University","Iran"
"5662","Shahid Beheshti University","IRAN"
"5663","CISRO","Ireland"
"5668","Cork","Ireland"
"5681","National Center for Agriculture and Veterinary Biotechnology","Ireland"
"5686","National University of Ireland","Ireland"
"5687","Teagasc","Ireland"
"5688","Trinity College Botanic Garden","Ireland"
"5697","University College Cork","Ireland"
"5700","University College Dublin","Ireland"
"5726","University of College","Ireland"
"5727",NA,"Ireland"
"5754","Ben Gurion University of the Negev","Israel"
"5767","Hebrew University of Jerusalem","Israel"
"5772","Israel Nature and National Parks Protection Authority","Israel"
"5786","Technion Israel Institute of Technology","Israel"
"5796","Tel Aviv University","Israel"
"5812","University of Haifa","Israel"
"5823","University of Quebec in Abitibi Temiscamingue","Israel"
"5834","University of Tel Aviv","Israel"
"5835",NA,"Israel"
"5875","Food and Agriculture Organization FAO","Italy"
"5897","Instituto per lAmbiente Marino Costiero","Italy"
"5898","Istituto per lÂ¢Ambiente Marino Costiero","Italy"
"5899","Istituto Sperimentale per la Selvicoltura","Italy"
"5906","Laboratorio di Geologia Marina del C.N.R.","Italy"
"5907","Ministry of the Environment","Italy"
"5915","Ponteficio Collegio Irlandese","Italy"
"5916","Seconda Universita","Italy"
"5920","Stazione Zoologica Anton Dohrn","Italy"
"5928","Stazione Zoologica di Napoli Villa Acquario","Italy"
"5929","Stazione Zoologica di Napoli Villa Comunale","Italy"
"5930","Universita Camerino","Italy"
"5932","Universita degli Studi di Padova","Italy"
"5933","Universita di Genova","Italy"
"5934","Universita di Napoli","Italy"
"5935","Universita di Pisa","Italy"
"5936","Universita die Napoli ""Frederico II""","Italy"
"5937","University of Bologna","Italy"
"5944","University of Milano","Italy"
"5951","University of Pavia","Italy"
"5952","University of Salento","Italy"
"5956","University of Trieste","Italy"
"5977","University of Urbino","Italy"
"5980","Wageningen University and Research","Italy"
"5981","World Wildlife Fund","Italy"
"5994",NA,"Italy"
"6017","Ministry of the Environment","ITALY"
"6018","Forestry and Forest Products Research Institute","Japan"
"6020","Graduate University for Advanced Studies","Japan"
"6023","Himeji City Aquarium","Japan"
"6028","Hiroshima University","Japan"
"6031","Hokkaido","Japan"
"6041","Hokkaido University","Japan"
"6046","Kagoshima University","Japan"
"6048","Kyoto","Japan"
"6063","Kyoto University","Japan"
"6069","Kyushu University","Japan"
"6099","Marine Parks Center of Japan","Japan"
"6101","missing","Japan"
"6103","Osaka City University","Japan"
"6110","Texas Tech University","Japan"
"6115","Tohoku University","Japan"
"6140","Tokaigakuen University","Japan"
"6145","Tokyo University of Agriculture","Japan"
"6147","Universite de Montreal","Japan"
"6153","University of Tokyo","Japan"
"6155","Yokohama National University","Japan"
"6162",NA,"Japan"
"6228","African Agricultural Technology Foundation","Kenya"
"6235","International Center for Research in Agroforestry ICRAF","Kenya"
"6256","International Centre of Insect Physiology and Ecology","Kenya"
"6258","Moi University","Kenya"
"6267","Wildlife Conservation Society","Kenya"
"6269",NA,"Latvia"
"6272","Forest Research lnstitute Malaysia (FRIM)","Malaysia"
"6276","Monash University","Malaysia"
"6279","Universiti Sains","Malaysia"
"6285","University Kebangsaan","Malaysia"
"6288","University of Malaysia","Malaysia"
"6296",NA,"Malaysia"
"6306","CINVESTAV","Mexico"
"6307","Colegio de la Frontera Sur ECOSUR","Mexico"
"6320","Instituto de Ecologia A.C.","Mexico"
"6325","Universidad Autonoma de Yucatan","Mexico"
"6329","Universidad Nacional Aut<a2>noma de M<82>xico","Mexico"
"6330","Universidad Nacional Aut¢noma de M‚xico","Mexico"
"6332","Universidad Nacional Autonoma de M‚xico","Mexico"
"6338","Universidad Nacional Autonoma de Mexico","Mexico"
"6403",NA,"Mexico"
"6420","Queens University of Belfast","N. Ireland"
"6425","Agricultural University","Netherlands"
"6429","Agricultural University Wageningen","Netherlands"
"6433","ALTERRA Research Institute for the Green World","Netherlands"
"6435","Biological Centre","Netherlands"
"6436","Biological Station Wijster","Netherlands"
"6450","Catholic University","Netherlands"
"6452","CISRO","Netherlands"
"6453","Free University Amsterdam","Netherlands"
"6472","Helmholtz Centre for Environmental Research UFZ University of FloridaZ","Netherlands"
"6477","Institute of Forestry and Nature Research","Netherlands"
"6478","Leiden University","Netherlands"
"6490","missing","Netherlands"
"6509","Nederlands Institut voor Onderzoek der Zee","Netherlands"
"6510","Netherlands Institute for Sea Research","Netherlands"
"6514","Netherlands Institute of Ecology","Netherlands"
"6536","Netherlands Institute of Ecology; Wageningen University and Research Centre","Netherlands"
"6540","Netherlands Institute of Technology","Netherlands"
"6541","NIOO","Netherlands"
"6542","Ohio State University","Netherlands"
"6547","Radboud University","Netherlands"
"6563","Radboud University Nijmegen","Netherlands"
"6566","Research Institute for Agrobiology and Soil Fertility","Netherlands"
"6567","Research Institute for Nature Management","Netherlands"
"6578","Tropenbos International","Netherlands"
"6593","University of Amsterdam","Netherlands"
"6619","University of Groningen","Netherlands"
"6636","University of Leiden","Netherlands"
"6637","University of Stirling","Netherlands"
"6639","University of University Amsterdam","Netherlands"
"6644","University of Utrecht","Netherlands"
"6708","University of Zuidema","Netherlands"
"6709","US Forest Service","Netherlands"
"6715","Utrecht","Netherlands"
"6721","Utrecht University","Netherlands"
"6730","Vrije Universiteit","Netherlands"
"6771","Vrije Universiteit Amsterdam","Netherlands"
"6775","Wageningen","Netherlands"
"6785","Wageningen Agricultural University","Netherlands"
"6829","Wageningen Agricultural University and Research Center Alterra","Netherlands"
"6830","Wageningen University","Netherlands"
"6875","Wageningen University and Instituto Boliviano de Investigacion Forestal","Netherlands"
"6876","Wageningen University and Research","Netherlands"
"6888","Wageningen University and Research Centre","Netherlands"
"6895","Wageningen University Research Center Alterra","Netherlands"
"6901","WL Delft Hydraulics","Netherlands"
"6907",NA,"Netherlands"
"7065","AgResearch","New Zealand"
"7068","AgResearch Ltd","New Zealand"
"7070","Auckland","New Zealand"
"7081","Christ Church","New Zealand"
"7095","Christchurch","New Zealand"
"7103","Department of Scientific and Industrial Research","New Zealand"
"7121","Ecological Research Associates of New Zealand","New Zealand"
"7129","Landcare Research Ltd","New Zealand"
"7131","Lincoln University","New Zealand"
"7134","Manaaki Whenua Landcare Research","New Zealand"
"7177","Massey","New Zealand"
"7179","Massey University","New Zealand"
"7185","missing","New Zealand"
"7217","National Institute of Water and Atmospheric Research","New Zealand"
"7225","New Zealand Research Centre for Urban Ecology","New Zealand"
"7228","no one by this name","New Zealand"
"7229","University of Auckland","New Zealand"
"7257","University of Canterbury","New Zealand"
"7300","University of Otago","New Zealand"
"7307","University of Waikato","New Zealand"
"7309","Victoria University of Wellington","New Zealand"
"7333","Waikato University","New Zealand"
"7336",NA,"New Zealand"
"7369","Paso Pacifico","Nicaragua"
"7373","Obafemi Awolowo University","Nigeria"
"7378","University of ibadan","Nigeria"
"7388","University of Ife","Nigeria"
"7394","Queens University of Belfast","Northern Ireland"
"7399","Ulster","Northern Ireland"
"7401","Agricultural University of Norway","Norway"
"7420","Botanical Museum","Norway"
"7428","Institute of Geology and Biology","Norway"
"7436","Institute of Nature Conservation","Norway"
"7443","Norwegian Institute for Nature Research","Norway"
"7446","Norwegian University of Science and Technology","Norway"
"7449","University of Alaska","Norway"
"7450","University of Bergen","Norway"
"7479","University of Oslo","Norway"
"7500","University of Tromso","Norway"
"7510","Zoological Museum","Norway"
"7520",NA,"Norway"
"7597","Chinese Academy of Sciences","P.R. China"
"7600","Smithsonian Tropical Research Institute","Panama"
"7617","STRI","Panama"
"7620",NA,"Panama"
"7637","Universidad Nacional Agraria","Peru"
"7641",NA,"Philippines"
"7642","Bialystok","Poland"
"7649","Krakow","Poland"
"7659","Polish Academy of Science","Poland"
"7670","University Lodz","Poland"
"7674","Wrcoclaw U","Poland"
"7682",NA,"Poland"
"7692","Gulbenkian Institute","Portugal"
"7695","University of Texas","Portugal"
"7696","Center for Energy and Environmental Research","Puerto Rico"
"7697","Institute of Tropical Forestry","Puerto Rico"
"7701","University of Puerto Rico","Puerto Rico"
"7704","US Forest Service","Puerto Rico"
"7711","Seoul","Republic of Korea"
"7714","Academy of Sciences of Russia","Russia"
"7715","Institute of Animal Evolutionary Morphology and Ecology","Russia"
"7718","Ministry of Agriculture of the USSR","Russia"
"7720","Moscow State University","Russia"
"7723","Science Academy of the USSR","Russia"
"7724","Siberian Branch of the Academy of Sciences","Russia"
"7729","Siberian Central Botanical Garden","Russia"
"7732","University of Nottingham","Russia"
"7737","Antioch New England Graduate School and National University of Rwanda","Rwanda"
"7743","Dundee","Scotland"
