"DATAFILE$INST[DATAFILE$LAST_NAME==""",arnold arboretum of harvard university,"""]<-""",harvard university,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""arnold arboretum of harvard university""]<-""harvard university""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",ascot,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""ascot""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",auckland,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""auckland""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",australian commonwealth scientific and research organization,"""]<-""",csiro,"""","DATAFILE$COUNTRY[DATAFILE$INST==""australian commonwealth scientific and research organization""]<-""csiro""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",australian national university,"""]<-""",Australia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""australian national university""]<-""Australia""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",basf plant science,"""]<-""",basf,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""basf plant science""]<-""basf""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",beijing,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""beijing""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",bethesda,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""bethesda""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",bialystok,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""bialystok""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",biological centre,"""]<-""",Netherlands,"""","DATAFILE$COUNTRY[DATAFILE$INST==""biological centre""]<-""Netherlands""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",biological institute,"""]<-""",Yugoslavia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""biological institute""]<-""Yugoslavia""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",bristol,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""bristol""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",british antarctic survey,"""]<-""",United Kingdom,"""","DATAFILE$COUNTRY[DATAFILE$INST==""british antarctic survey""]<-""United Kingdom""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""","calyx, inc","""]<-""","calyx, inc","""","DATAFILE$INST[DATAFILE$LAST_NAME==""calyx, inc""]<-""calyx, inc""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",cardiff,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""cardiff""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",carl von ossietzky university oldenburg,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""carl von ossietzky university oldenburg""]<-""Germany""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",catholic university of chile,"""]<-""",pontificia universidad catolica de chile,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""catholic university of chile""]<-""pontificia universidad catolica de chile""",,
"DATAFILE$UNIT[DATAFILE$INST==""",center of marine sciences of algarve universidade,"""]<-""",center of marine sciences,"""","DATAFILE$UNIT[DATAFILE$INST==""center of marine sciences of algarve universidade""]<-""center of marine sciences""",,
"DATAFILE$INST[DATAFILE$INST==""",center of marine sciences of algarve universidade,"""]<-""",algarve universidade,"""","DATAFILE$INST[DATAFILE$INST==""center of marine sciences of algarve universidade""]<-""algarve universidade""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",center of marine sciences of algarve universidade,"""]<-""",Portugal,"""","DATAFILE$COUNTRY[DATAFILE$INST==""center of marine sciences of algarve universidade""]<-""Portugal""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",chicago,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""chicago""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",chris britton consultancy balfor beatty,"""]<-""",,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""chris britton consultancy balfor beatty""]<-""""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",christchurch,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""christchurch""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",christian albrechts universitat kiel,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""christian albrechts universitat kiel""]<-""Germany""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",cinvestav,"""]<-""",Mexico,"""","DATAFILE$COUNTRY[DATAFILE$INST==""cinvestav""]<-""Mexico""",,
"DATAFILE$INST[DATAFILE$INST==""",ciudad universitaria,"""]<-""",ets ingenierosÊdeÊmontes,"""","DATAFILE$INST[DATAFILE$INST==""ciudad universitaria""]<-""ets ingenierosÊdeÊmontes""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",cnrs centre decologie fonctionnelle et evolutive,"""]<-""",France,"""","DATAFILE$COUNTRY[DATAFILE$INST==""cnrs centre decologie fonctionnelle et evolutive""]<-""France""",,
"DATAFILE$INST[DATAFILE$INST==""",college of staten island cuny,"""]<-""",cuny college of staten island,"""","DATAFILE$INST[DATAFILE$INST==""college of staten island cuny""]<-""cuny college of staten island""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",colorado,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""colorado""]<-""missing""",,
"DATAFILE$INST[DATAFILE$INST==""",colorado cooperative fish and wildlife unit,"""]<-""",usgs colorado cooperative fish and wildlife unit,"""","DATAFILE$INST[DATAFILE$INST==""colorado cooperative fish and wildlife unit""]<-""usgs colorado cooperative fish and wildlife unit""",,
"DATAFILE$INST[DATAFILE$INST==""",commonwealth university,"""]<-""",virginia commonwealth university,"""","DATAFILE$INST[DATAFILE$INST==""commonwealth university""]<-""virginia commonwealth university""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",copenhagen,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""copenhagen""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",cork,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""cork""]<-""missing""",,
"DATAFILE$INST[DATAFILE$INST==""",csic institut mediterrani destudis avencats,"""]<-""",Mediterranean Institute for Advanced Studies,"""","DATAFILE$INST[DATAFILE$INST==""csic institut mediterrani destudis avencats""]<-""Mediterranean Institute for Advanced Studies""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",csic institut mediterrani destudis avencats,"""]<-""",Mediterranean Institute for Advanced Studies,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""csic institut mediterrani destudis avencats""]<-""Mediterranean Institute for Advanced Studies""",,
"DATAFILE$INST[DATAFILE$INST==""",csic instituto de ciencias del mar,"""]<-""",Mediterranean Institute for Advanced Studies,"""","DATAFILE$INST[DATAFILE$INST==""csic instituto de ciencias del mar""]<-""Mediterranean Institute for Advanced Studies""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",dartmouth,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""dartmouth""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",doe brookhaven national laboratory,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""doe brookhaven national laboratory""]<-""USA""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",doe brookhaven national laboratory,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""doe brookhaven national laboratory""]<-""USA""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",dundee,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""dundee""]<-""missing""",,
"DATAFILE$INST[DATAFILE$INST==""",environment canada wildlife research division,"""]<-""",environment canada wildlife research east,"""","DATAFILE$INST[DATAFILE$INST==""environment canada wildlife research division""]<-""environment canada wildlife research east""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",evolutionary biology centre,"""]<-""",university of uppsala,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""evolutionary biology centre""]<-""university of uppsala""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",florida dept of natural resources bureau of marine research,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""florida dept of natural resources bureau of marine research""]<-""USA""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",forschungsinstitut senckenberg,"""]<-""",senckenberg research institute,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""forschungsinstitut senckenberg""]<-""senckenberg research institute""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",gorgan university of agric sci,"""]<-""",gorgan university of agricultural sciences,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""gorgan university of agric sci""]<-""gorgan university of agricultural sciences""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",griffith university,"""]<-""",Australia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""griffith university""]<-""Australia""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",guelph,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""guelph""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",haus nr9,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""haus nr9""]<-""Germany""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",hebrew university of jerusalem,"""]<-""",Israel,"""","DATAFILE$COUNTRY[DATAFILE$INST==""hebrew university of jerusalem""]<-""Israel""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",hokkaido,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""hokkaido""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",hokkaido university,"""]<-""",Japan,"""","DATAFILE$COUNTRY[DATAFILE$INST==""hokkaido university""]<-""Japan""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",humboldt university of berlin,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""humboldt university of berlin""]<-""Germany""",,
"DATAFILE$INST[DATAFILE$INST==""",hunter college cuny,"""]<-""",cuny hunter college,"""","DATAFILE$INST[DATAFILE$INST==""hunter college cuny""]<-""cuny hunter college""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",icbs ufal and oxford university,"""]<-""",Brazil,"""","DATAFILE$COUNTRY[DATAFILE$INST==""icbs ufal and oxford university""]<-""Brazil""",,
"DATAFILE$INST[DATAFILE$INST==""",icbs ufal and oxford university,"""]<-""",universidade federal de alagoas,"""","DATAFILE$INST[DATAFILE$INST==""icbs ufal and oxford university""]<-""universidade federal de alagoas""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",illinois,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""illinois""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",indiana,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""indiana""]<-""missing""",,
"DATAFILE$INST[DATAFILE$INST==""",inra,"""]<-""",french national institute for agricultural research inra,"""","DATAFILE$INST[DATAFILE$INST==""inra""]<-""french national institute for agricultural research inra""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",institut national scientifique et technnique d oceanographie et de peche,"""]<-""",Tunisia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""institut national scientifique et technnique d oceanographie et de peche""]<-""Tunisia""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",institute of marine biology of crete,"""]<-""",Greece,"""","DATAFILE$COUNTRY[DATAFILE$INST==""institute of marine biology of crete""]<-""Greece""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",institute of tropical forestry,"""]<-""",international institute of tropical forestry,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""institute of tropical forestry""]<-""international institute of tropical forestry""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",instituto de biociencias,"""]<-""",,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""instituto de biociencias""]<-""""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",instituto mediterraneo de estudios avanzados (imedea),"""]<-""",Mediterranean Institute for Advanced Studies,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""instituto mediterraneo de estudios avanzados (imedea)""]<-""Mediterranean Institute for Advanced Studies""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",international institute for applied systems analysis,"""]<-""",Austria,"""","DATAFILE$COUNTRY[DATAFILE$INST==""international institute for applied systems analysis""]<-""Austria""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",international institute of tropical forestry,"""]<-""",Puerto Rico,"""","DATAFILE$COUNTRY[DATAFILE$INST==""international institute of tropical forestry""]<-""Puerto Rico""",,
"DATAFILE$INST[DATAFILE$INST==""",istituto per lÂ¢ambiente marino costiero,"""]<-""",instituto per lambiente marino costiero,"""","DATAFILE$INST[DATAFILE$INST==""istituto per lÂ¢ambiente marino costiero""]<-""instituto per lambiente marino costiero""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",istituto per lÂ¢ambiente marino costiero,"""]<-""",instituto per lambiente marino costiero,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""istituto per lÂ¢ambiente marino costiero""]<-""instituto per lambiente marino costiero""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",james cook university,"""]<-""",Australia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""james cook university""]<-""Australia""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",james cook university,"""]<-""",Australia,"""","DATAFILE$COUNTRY[DATAFILE$INST==""james cook university""]<-""Australia""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",jena,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""jena""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",kings college,"""]<-""",kings college london,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""kings college""]<-""kings college london""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",krakow,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""krakow""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",kyoto,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""kyoto""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",kyushu university,"""]<-""",Japan,"""","DATAFILE$COUNTRY[DATAFILE$INST==""kyushu university""]<-""Japan""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",laboratorio di geologia marina del cnr,"""]<-""",Italy,"""","DATAFILE$COUNTRY[DATAFILE$INST==""laboratorio di geologia marina del cnr""]<-""Italy""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",lakehead university,"""]<-""",Canada,"""","DATAFILE$COUNTRY[DATAFILE$INST==""lakehead university""]<-""Canada""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",lancaster,"""]<-""",lancaster university,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""lancaster""]<-""lancaster university""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",lancaster university,"""]<-""",UK,"""","DATAFILE$COUNTRY[DATAFILE$INST==""lancaster university""]<-""UK""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",leibniz institut fur meereswissenschaften ifmgeomar,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""leibniz institut fur meereswissenschaften ifmgeomar""]<-""Germany""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",lincoln university,"""]<-""",university of lincoln,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""lincoln university""]<-""university of lincoln""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",london,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""london""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",ludwig maximilian universitat munchen,"""]<-""",ludwig maximilian university of munich,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""ludwig maximilian universitat munchen""]<-""ludwig maximilian university of munich""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",luminy universite d aix marseille,"""]<-""",France,"""","DATAFILE$COUNTRY[DATAFILE$INST==""luminy universite d aix marseille""]<-""France""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",macaulayÂ institute,"""]<-""",macaulay land use research institute,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""macaulayÂ institute""]<-""macaulay land use research institute""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",madrid,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""madrid""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",maine,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""maine""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",massey,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""massey""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",max planck institute for behavioral physiology,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""max planck institute for behavioral physiology""]<-""Germany""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",max planck institute for demographic research,"""]<-""",Germany,"""","DATAFILE$COUNTRY[DATAFILE$INST==""max planck institute for demographic research""]<-""Germany""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",mcgill university,"""]<-""",Canada,"""","DATAFILE$COUNTRY[DATAFILE$INST==""mcgill university""]<-""Canada""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",Meggers,"""]<-""",smithsonian national museum of natural history,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""Meggers""]<-""smithsonian national museum of natural history""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",memorial university of newfoundland,"""]<-""",Canada,"""","DATAFILE$COUNTRY[DATAFILE$INST==""memorial university of newfoundland""]<-""Canada""",,
"DATAFILE$INST[DATAFILE$INST==""",millbrook,"""]<-""",caryÊinstituteÊofÊecosystemÊstudies,"""","DATAFILE$INST[DATAFILE$INST==""millbrook""]<-""caryÊinstituteÊofÊecosystemÊstudies""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",monash,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""monash""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",montana,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""montana""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",monterey bay aquarium research institute,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""monterey bay aquarium research institute""]<-""USA""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",montpellier,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""montpellier""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",mpi jena,"""]<-""",max planck institute for human history,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""mpi jena""]<-""max planck institute for human history""",,
"DATAFILE$INST[DATAFILE$INST==""",national institute of food and agriculture,"""]<-""",usda national institute of food and agriculture,"""","DATAFILE$INST[DATAFILE$INST==""national institute of food and agriculture""]<-""usda national institute of food and agriculture""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",national institute of water and atmospheric research,"""]<-""",New Zealand,"""","DATAFILE$COUNTRY[DATAFILE$INST==""national institute of water and atmospheric research""]<-""New Zealand""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",national museum of natural history france,"""]<-""",France,"""","DATAFILE$COUNTRY[DATAFILE$INST==""national museum of natural history france""]<-""France""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",national museum of natural history smithsonian institution,"""]<-""",smithsonian national museum of natural history,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""national museum of natural history smithsonian institution""]<-""smithsonian national museum of natural history""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",national natural history museum paris,"""]<-""",national museum of natural history france,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""national natural history museum paris""]<-""national museum of natural history france""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",national university of rosario,"""]<-""",Argentina,"""","DATAFILE$COUNTRY[DATAFILE$INST==""national university of rosario""]<-""Argentina""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",naturhistorisches museum wien,"""]<-""",Austria,"""","DATAFILE$COUNTRY[DATAFILE$INST==""naturhistorisches museum wien""]<-""Austria""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",nederlands institut voor onderzoek der zee,"""]<-""",royal netherlands institute for sea research,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""nederlands institut voor onderzoek der zee""]<-""royal netherlands institute for sea research""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",nederlands institut voor onderzoek der zee,"""]<-""",royal netherlands institute for sea research,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""nederlands institut voor onderzoek der zee""]<-""royal netherlands institute for sea research""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",new york botanical garden,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""new york botanical garden""]<-""USA""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",newfoundland,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""newfoundland""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",nioo,"""]<-""",netherlands institute of ecology,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""nioo""]<-""netherlands institute of ecology""",,
"DATAFILE$NOTES[DATAFILE$LAST_NAME==""",no one by this name,"""]<-""",2x if on ed board this year,"""","DATAFILE$NOTES[DATAFILE$LAST_NAME==""no one by this name""]<-""2x if on ed board this year""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",north carolina,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""north carolina""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",northeast fisheries science center,"""]<-""",noaa northeast fisheries science center,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""northeast fisheries science center""]<-""noaa northeast fisheries science center""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",ohio,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""ohio""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",oklahoma university,"""]<-""",university of oklahoma,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""oklahoma university""]<-""university of oklahoma""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",oxford university,"""]<-""",United Kingdom,"""","DATAFILE$COUNTRY[DATAFILE$INST==""oxford university""]<-""United Kingdom""",,
"DATAFILE$INST[DATAFILE$INST==""",pacific sw research station us forest service,"""]<-""",usfs pacific sw research station,"""","DATAFILE$INST[DATAFILE$INST==""pacific sw research station us forest service""]<-""usfs pacific sw research station""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",peking,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""peking""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",pennsylvania,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""pennsylvania""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",philadelphia,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""philadelphia""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",pittsburgh,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""pittsburgh""]<-""missing""",,
"DATAFILE$INST[DATAFILE$INST==""",prairie wildlife research center,"""]<-""",usgs prairie wildlife research center,"""","DATAFILE$INST[DATAFILE$INST==""prairie wildlife research center""]<-""usgs prairie wildlife research center""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",pretoria,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""pretoria""]<-""missing""",,
"DATAFILE$COUNTRY[DATAFILE$STATE==""",Puerto Rico,"""]<-""",Puerto Rico,"""","DATAFILE$COUNTRY[DATAFILE$STATE==""Puerto Rico""]<-""Puerto Rico""",,
"DATAFILE$INST[DATAFILE$INST==""",queens college city university of new york,"""]<-""",cuny queens college,"""","DATAFILE$INST[DATAFILE$INST==""queens college city university of new york""]<-""cuny queens college""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",queensland,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""queensland""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",reading,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""reading""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",regina,"""]<-""",missing,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""regina""]<-""missing""",,
"DATAFILE$INST[DATAFILE$LAST_NAME==""",retired (no affiliation),"""]<-""",retired,"""","DATAFILE$INST[DATAFILE$LAST_NAME==""retired (no affiliation)""]<-""retired""",,
"DATAFILE$COUNTRY[DATAFILE$INST==""",rice university,"""]<-""",USA,"""","DATAFILE$COUNTRY[DATAFILE$INST==""rice university""]<-""USA""",,
