journal,year,editor_id,first_name,middle_name,last_name,inst,unit,city,country
agronomy,2008,3251,robert,NA,williams,usda us department of agriculture,ars,oklahoma city,usa
agronomy,2010,3268,saseendran,NA,anapalli,usda us department of agriculture,ars,NA,usa
agronomy,1998,3324,steven,NA,evett,usda us department of agriculture,ars,amarillo,usa
agronomy,1989,3326,steven,NA,fales,usda us department of agriculture,ars,amarillo,usa
agronomy,2005,3343,stephen,NA,griffith,usda us department of agriculture,ars,corvallis,usa
agronomy,2007,3423,shannon,NA,osborne,usda us department of agriculture,ars,brookings,usa
agronomy,2008,3440,shannon,NA,pinson,usda us department of agriculture,ars dale bumpers national rice research center,stuttgart,usa
agronomy,1996,3463,sally,NA,schneider,usda us department of agriculture,ars,beltsville,usa
agronomy,2012,3575,thomas,NA,kaspar,usda us department of agriculture,ars national lab for agriculture and environment,ames,usa
bitr,1993,3593,thomas,NA,lovejoy,smithsonian institution,NA,washington dc,usa
agronomy,2008,3651,tara,NA,vantoai,usda us department of agriculture,ars soil drainage research unit,columbus,usa
agronomy,2008,3671,upendra,NA,sainju,usda us department of agriculture,ars-nparl,sidney,usa
agronomy,2008,3673,veronica,NA,acosta-martinez,usda us department of agriculture,ars cropping systems research lab.,lubbock,usa
agronomy,2009,3707,william,NA,anderson,usda us department of agriculture,ars crop genetics and breeding research unit,tifton,usa
agronomy,2003,3725,wayne,NA,coblentz,usda us department of agriculture,ars,marshfield,usa
agronomy,2003,3736,william,NA,effland,usda us department of agriculture,NA,myersville,usa
agronomy,1999,3779,william,NA,pettigrew,usda us department of agriculture,NA,greenville,usa
agronomy,2009,3787,walter,NA,riedell,usda us department of agriculture,ars north central agricultural research lab,brookings,usa
najfm,2014,382,christopher,m,anderson,university of washington,NA,NA,usa
agronomy,1992,3908,jean,NA,steiner,usda us department of agriculture,ars grazinglands research laboratory,el reno,usa
agronomy,2002,415,cynthia,NA,cambardella,usda us department of agriculture,ars national lab for agriculture and the environment,ames,usa
agronomy,1986,431,craig,s,daughtry,usda us department of agriculture,ars hydrology remote sensing,beltsville,usa
marecol,1985,4350,k,NA,rutzler,smithsonian institution,national museum of natural history,washington dc,usa
marecol,1996,4430,j,NA,turner,university of massachusetts,biology department,north dartmouth,usa
marecol,1996,4443,t,NA,villareal,university of massachusetts,environmental sciences program,boston,usa
agronomy,1999,516,charles,NA,mackown,usda us department of agriculture,ars grazingland research lab,el reno,usa
agronomy,1992,581,charley,NA,townsend,usda us department of agriculture,NA,fort collins,usa
agronomy,2012,610,david,NA,archer,usda us department of agriculture,ars ngprl,mandan,usa
agronomy,1987,641,dwayne,NA,buxton,usda us department of agriculture,ars pacific west area,albany,usa
agronomy,2009,649,daniel,NA,chellemi,usda us department of agriculture,ars horticultural research lab.,fort pierce,usa
agronomy,2008,686,dwight,NA,fisher,usda us department of agriculture,ars,watkinsville,usa
agronomy,1986,756,david,a,lauer,usda us department of agriculture,ars,prosser,usa
agronomy,2009,767,daniel,NA,long,usda us department of agriculture,ars columbia plateau conservation research center,adams,usa
agronomy,2008,787,david,NA,meek,usda us department of agriculture,NA,ames,usa
agronomy,2006,801,david,NA,nielsen,usda us department of agriculture,ars great plains research station,akron,usa
agronomy,1998,836,donald,NA,reeves,usda us department of agriculture,ars jpc nrcc,watkinsville,usa
agronomy,1985,837,donald,c,reicosky,usda us department of agriculture,NA,morris,usa
agronomy,2008,883,dana,NA,sullivan,usda us department of agriculture,NA,greensboro,usa
agronomy,1996,886,donald,NA,tanaka,usda us department of agriculture,ars,mandan,usa
agronomy,2008,887,david,NA,tarkalson,usda us department of agriculture,ars nwisrl,kimberly,usa
agronomy,2002,892,dennis,NA,timlin,usda us department of agriculture,ars csgcl,beltsville,usa
agronomy,1990,895,dan,NA,upchurch,usda us department of agriculture,ars spa,college station,usa
agronomy,2008,945,eton,NA,codling,usda us department of agriculture,ars,beltsville,usa
agronomy,1985,95,ardell,d,halvorson,usda us department of agriculture,ars,fort collins,usa
agronomy,2008,981,e,raymond,hunt,usda us department of agriculture,ars hrsl,baltimore,usa
