"","INST","COUNTRY","count"
"169"," University of Sheffield","UK",2
"170"," University of Sheffield","United Kingdom",3
"171"," University of South Bohemia","Czech Republic",1
"172"," University of South Carolina","USA",5
"173"," University of South Florida","USA",4
"174"," University of St. Andrews","UK",1
"175"," University of St. Andrews","United Kingdom",6
"176"," University of Stirling","UK",1
"177"," University of Texas","USA",8
"178"," University of Texas at Austin","USA",6
"179"," University of Toronto","Canada",3
"180"," University of Toronto","USA",1
"181"," University of Utah","USA",2
"182"," University of Vermont","USA",6
"183"," University of Veterinary Medicine","Austria",1
"184"," University of Virginia","USA",3
"185"," University of Washington","USA",5
"186"," University of Wisconsin","USA",8
"187"," University of Wisconsin-Milwaukee","USA",3
"188"," University of Wollongong","Australia",1
"189"," University of Wurzburg","Germany",1
"190"," University of Wyoming","USA",1
"191"," Unviersity of Birmingham","UK",1
"192"," Uppsala University","Sweden",3
"193"," USGS Patuxent Wildlife Research Center","USA",1
"194"," Vanderbilt University","USA",3
"195"," Wageningen University","Netherlands",1
"196"," Wageningen University","The Netherlands",1
"197"," Washington State University","USA",11
"198"," Washington University","USA",3
"199"," Washington University School of Medicine","USA",3
"200"," Wayne State University","USA",3
"201"," Western Washington University","USA",3
"202"," Yale University","USA",9
"203"," Yokohama National University","Japan",1
"204"," Zoological Society of London","UK",1
"205","(Retired)-Natural History Museum London","England",4
"206","(Retired)-Natural History Museum London","missing",1
"207","Aarhus U","missing",1
"208","Aarhus University","Denmark",1
"209","Aberystwyth","Wales",13
"210","Acad Natural Science Philadelphia","USA",4
"211","Academia Sinica","China",18
"212","Acadia U","missing",11
"213","Addis Ababa University","Ethiopia",3
"214","Adelaide","Australia",4
"215","Africa Plant Seeds International","Tanzania",6
"216","African Agricultural Technology Foundation","Kenya",7
"217","AgResearch ","New Zealand",3
"218","AgResearch Ltd","New Zealand",2
"219","Agricultural Research Center","Egypt",6
"220","Agricultural University of Norway","Norway",26
"221","Agriculture & Agri-Food Canada","Canada",21
"222","Agriculture and Agri Food Canada","Canada",3
"223","Agriculture and Agri-Food Canada","Canada",4
"224","Agrium Advanced Technologies","USA",2
"225","Agroscope Reckenholz Tanikon Research Station","Switzerland",5
"226","Alaska Department of Fish and Game","USA",3
"227","Alaska Science Center","missing",11
"228","Albert-Ludwigs-UniversitatFreiburg","Germany",3
"229","Alberta","Canada",1
"230","Alexandra University","Egypt",1
"231","Alfred-Wegener-Institut fur Polar- und Meeresforschung","Germanny",1
"232","Alterra","Italy",1
"233","Alterra","Netherlands",7
"234","ALTERRA Research Institute for the Green World","Netherlands",2
"235","ALTERRA-Research Instituut voor de groene ruimte","Netherlands",2
"236","American Museum of Natural History","USA",10
"237","American Museum of Natural History","missing",2
"238","Amherst","USA",5
"239","Amherst College","missing",1
"240","Amsterdam","Switzerland",3
"241","Analytics, Iowa Soybean Association","USA",7
"242","Antioch New England","Rwanda",6
"243","Antioch New England","USA",1
"244","Antwerp","Belgium",10
"245","ANUTECH","Australia",9
"246","Appalachian State University","USA",3
"247","Applied Biomathematics","USA",5
"248","Archbold Biological Station","USA",7
"249","Archibold Biological Station","USA",7
"250","Archipelago Consulting","USA",3
"251","Arete Assicuates","USA",1
"252","Argonne National Laboratory","USA",6
"253","Arizona","USA",19
"254","Arizona State U","missing",8
"255","Arizona State University","United States",6
"256","Arizona State University","USA",76
"257","Arizona State University ","USA",3
"258","Arizona State University-west","USA",1
"259","Arnold Arboretum Of Harvard University","United States",6
"260","ART Research Stationn","Switzerland",1
"261","ASA-CSSA-SSSA","USA",3
"262","ASA-CSSA-SSSA Headquarters","USA",3
"263","Ascot","England",1
"264","Ashoka Trust for Research in Ecology and the Environment","India",1
"265","Ashoka Trust for Research in Ecology and the Environment Bangalore","India",3
"266","Auburn U","missing",7
"267","Auburn University","USA",42
"268","Auburn University","missing",1
"269","Auckland","New Zealand",11
"270","Austin Peay State U","missing",1
"271","Australian Commonwealth Scientific and Research Organization","missing",5
"272","Australian Institute of Marine Science","Australia",1
"273","Australian Institute of Marine Science ","Australia",10
"274","Australian International Development Bureau","Australia",7
"275","Australian Museum","Australia",10
"276","Australian Museum","missing",1
"277","Australian National Parks and Wildlife Service","Australia",2
"278","Australian National University","Australia",51
"279","Australian National Wildlife Collection","missing",4
"280","Australian Research Center for Urban Ecology","Australia",1
"281","Austrian Research Centre for Forests","Austria",9
"282","Aves Argentinas","missing",2
"283","Bangor University","UK",17
"284","BASF Plant Science","Australia",1
"285","BASF Plant Science","USA",3
"286","Bates College","missing",7
"287","Bayer CropScience","USA",6
"288","Baylor University","USA",11
"289","BBL, Inc.","USA",2
"290","Beijer International Institute of Ecological Economics","Sweden",2
"291","Beijing","China",2
"292","Beijing Forestry University","China",4
"293","Beijing Normal University","China",9
"294","Beloit College","missing",5
"295","Ben-Gurion University of the Negev","Israel",13
"296","Bennington College","USA",10
"297","Berea College","USA",7
"298","Bethesda","USA",4
"299","Beverlodge Research Farm","Canada",2
"300","Bialystok","Poland",7
"301","Bidhan Chandra Krishi Viswavid","India",7
"302","Binghamton University- SUNY","USA",1
"303","Biological Centre","Netherlands",1
"304","Biological Dynamics of Forest Fragments Project","Brazil",7
"305","Biological Institute","Yugoslavia",2
"306","Biological Station Wijster","Netherlands",14
"307","Birdlife International","UK",9
"308","Blackwell Publishing","UK",1
"309","Blackwell Publishing ","UK",2
"310","Blackwell Science Ltd","UK",7
"311","Bloomfield College","missing",3
"312","Bogota","Colombia",1
"313","Boise State U","missing",23
"314","Boston University","USA",25
"315","Botanical Society of America","USA",5
"316","Bournemouth University","UK",2
"317","Bowdoin College","USA",2
"318","Bowling Green State University","USA",2
"319","Boyal Botanic Gardens Edinburgh","UK",2
"320","Brigham Young University","USA",4
"321","Bringham Young University","USA",5
"322","Bristol","England",14
"323","British Anarctic Society","England",2
"324","British Antartic Survey","UK",7
"325","British Antartic Survey","United States",2
"326","British Trust for Ornithology","UK",6
"327","Brock University","Canada",3
"328","Brookhaven National Laboratory","UK",5
"329","Brookhaven National Laboratory","USA",1
"330","Brown University","USA",13
"331","Brunei Museum","Brunei",2
"332","Bucknell U","missing",3
"333","Budongo Conservation Field Station","Uganda",3
"334","Buenos Aires Futures and Options Exchange","Argentina",7
"335","Cal State Bakersfield","USA",6
"336","California","USA",24
"337","California Academy of Sciences","missing",9
"338","California Academy Of Sciences","United States",1
"339","California State U San Marcos","missing",5
"340","California State University - Fresno","USA",4
"341","California State University Dominguez Hills","USA",2
"342","California State University Fresno","USA",2
"343","California State University Moss Landing Marine Laboratories","USA",7
"344","California State University-Dominguez Hills","USA",3
"345","Calyx, Inc.","USA",2
"346","Cambridge","England",25
"347","Cambridge University","UK",3
"348","Canadian Forest Products Ltd","Canada",4
"349","Canadian Forest Service","Canada",6
"350","Canadian Forestry Service","Canada",12
"351","Canadian Wildlife Service","missing",7
"352","Canberra","Australia",14
"353","Cardiff","Wales",15
"354","Cardiff University","UK",5
"355","Carl-von-Ossietzky University","Germany",2
"356","Carl-von-Ossietzky University Oldenburg","Germany",5
"357","Carleton University","Canada",11
"358","Carnegie Institution","UK",5
"359","Carnegie Institution of Washington","USA",2
"360","Carthage College","United States",4
"361","Cary Institute of Ecosystem Studies","USA",31
"362","Catholic U of Chile","missing",4
"363","Catholic University","Netherlands",2
"364","CATIE Center for Tropical Agricultural Research and Education","Costa Rica",8
"365","Center for Energy & Environmental Research","Puerto Rico",1
"366","Center for Humans and Nature","USA",2
"367","Center for International Forestry Research","Indonesia",22
"368","Center for Tropical Agricultural Research and Education CATIE","Costa Rica",15
"369","Center of Marine Sciences of Algarve, Universidade","Faro, Portugal",1
"370","Central Siberian Botanical Garden","Russia",3
"371","Centre d'Ecologie des Ressources Renouvelables","France",1
"372","Centre d'Ecologie Fonctionelle et Evolutive","Canada",1
"373","Centre d'Ecologie Fonctionnelle et Evolutive- CNRS","France",12
"374","Centre for Ecology and Hydrology","UK",33
"375","Centro Austral de Investigaciones Cientificas","Argentina",1
"376","Centro de Investigacion en Ecosistemas de la Patagonia","Chile",1
"377","Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional","Germany",4
"378","Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional","Mexico",1
"379","Centro de Investigaciones y Experiencias Forestales (CIEF)","Argentina",1
"380","Centro Nacional Patagonico, CONICET","Argentina",3
"381","Charles Darwin University","Australia",7
"382","Charles Darwin University Darwin","Australia",6
"383","Chicago","USA",5
"384","China Agricultural University","China",9
"385","Chinese Academy of Sciences","China",38
"386","Chinese Academy of Sciences","P.R. China",3
"387","Chinese Academy of Sciences","USA",1
"388","Chinese Academy of Sciencies","China",5
"389","Chris Britton Consultancy Ltd","UK",2
"390","Christ-Church","New Zealand",14
"391","Christchurch","New Zealand",8
"392","Christian- Albrechts-Universitat zu Kiel","Germany",1
"393","Christian-Albrechts-Universitat Kiel","Germany",4
"394","Christopher Newport University","USA",1
"395","Citrus Research and Education Center","USA",5
"396","City U of New York","missing",1
"397","Ciudad Universitaria","Spain",1
"398","Clark University","USA",8
"399","Clemson University","USA",34
"400","CNRS","France",4
"401","CNRS  Institut des Sciences de l'Evolution Montpellier","France",1
"402","CNRS Centre dEcologie Fonctionnelle et Evolutive","France",13
"403","CNRS Centre dEcologie Fonctionnelle et Evolutive","USA",6
"404","CNRS Centre dEcologie Fonctionnelle et Evolutive","missing",1
"405","CNRS Unite mixte de recherche Ecologie des forets de Guyane","French Guiana",2
"406","Colegio de la Frontera Sur","Mexico",13
"407","Colgate University","USA",2
"408","College of New Jersey","USA",7
"409","College of Staten Island - CUNY","United States",4
"410","College of Staten Island- CUNY","USA",2
"411","College of the Atlantic","USA",6
"412","College of William & Mary","USA",1
"413","College of William and Mary","USA",3
"414","College of William and Mary","missing",8
"415","Colorado","USA",13
"416","Colorado State","USA",7
"417","Colorado State U","missing",4
"418","Colorado State University","United States",17
"419","Colorado State University","USA",146
"420","Columbia U","missing",1
"421","Columbia University","Australia",1
"422","Columbia University","United States",5
"423","Columbia University","USA",11
"424","Columbia University ","USA",1
"425","Commonwealth Scientific and Industrial Research Organisation","Australia",9
"426","Commonwealth Scientific and Industrial Research Organisation CSIRO","Australia",27
"427","Commonwealth Secretariat ","UK",5
"428","Commonwealth U","missing",2
"429","Concordia University","Canada",6
"430","CONICET Instituto Argentino de Investigaciones de las Zonas Aridas","Argentina",1
"431","CONICET Instituto de Investigaciones Fisiologicas y Ecologicas Vinculadas a la Agricultura","Argentina",5
"432","Consejo Nacional de Investigaciones Cientificas y Tecnicas","missing",4
"433","Consejo Superior de Investigaciones Cientificas","Spain",10
"434","Consejo Superior de Investigaciones Cientificas (CSIC)","Spain",9
"435","Conservation International","USA",4
"436","Conservation Science Partners","USA",2
"437","Consortium for Conservation Medicine","USA",1
"438","Copenhagen","Denmark",13
"439","Copenhagen University","Denmark",10
"440","Cornell ","USA",20
"441","Cornell Lab of Ornithology","missing",2
"442","Cornell U","missing",5
"443","Cornell University","USA",137
"444","Cornell University ","missing",1
"445","Cranfield University","India",1
"446","Cranfield University","UK",7
"447","CSIC","Spain",5
"448","CSIC Estacion Biologica Donana","Spain",11
"449","CSIRO","Australia",72
"450","CSIRO","France",4
"451","CSIRO","Ireland",5
"452","CSIRO","The Netherlands",1
"453","CSIRO ","Australia",4
"454","Csiro Division Of Wildlife And Ecology","Australia",13
"455","CSIRO European Laboratory ","Australia",3
"456","CSIRO European Laboratory ","France",2
"457","CSIRO Plant Industry","Australia",3
"458","CSIRO Wildlife & Ecology","Australia",2
"459","CSIRO-Plant Industry","Australia",12
"460","Curtin University of Technology","Australia",2
"461","Czech Academy of Sciences","Czech Republic",8
"462","Dalhousie University","Canada",8
"463","Danish Forest and Landscape Research Institute","Denmark",7
"464","Dartmouth","USA",2
"465","Dartmouth College","USA",33
"466","Dartmouth College ","USA",3
"467","Dartmouth University","USA",6
"468","Dauphin Island Sea Lab","USA",1
"469","Davis","USA",3
"470","Deakin U Australia","missing",3
"471","Deakin University","Australia",6
"472","Delaware State University","USA",5
"473","Delta Waterfowl Foundation","missing",2
"474","Denison University","USA",1
"475","Denver Museum of Nature e Science","missing",2
"476","Department of Agriculture and Water Resources","Australia",5
"477","Department of Conservation and Land Management","Australia",4
"478","Department of Scientific and Industrial Research","New Zealand",18
"479","Desert Research Institute","USA",2
"480","DiSTEBA - Universita di Lecce","missing",1
"481","Division of Reptiles and Amphibians Smithsonian Institute Washington DC","USA",1
"482","Donana Biological Station CSIC","missing",3
"483","double-check","France",14
"484","double-check","UK",12
"485","DOUBLE-CHECK","Canada",4
"486","DOUBLE-CHECK","South Africa",2
"487","DOUBLE-CHECK","UK",19
"488","Dow AgroSciences","USA",6
"489","Drexel University","USA",6
"490","Ducks Unlimited Canada","missing",1
"491","Duke","USA",5
"492","Duke U","missing",9
"493","Duke University","Chile",5
"494","Duke University","United States",3
"495","Duke University","USA",97
"496","Dundee","Scotland",20
"497","DuPont Pioneer","USA",1
"498","East Carolina U","USA",5
"499","Eastern Illinois U","missing",6
"500","Eastern Illinois University","United States",6
"501","Eastern Michigan University","USA",3
"502","EcoAdapt","USA",5
"503","EcoHealth Alliance","USA",3
"504","Ecole Nationale des Eaux et Forets","France",5
"505","Ecole Normale Superieure","France",7
"506","Ecole Normale Supérieure","France",3
"507","Ecological Research Associates of New Zealand","New Zealand",8
"508","EcoScience Scotland","UK",4
"509","Edith Cowan University","Australia",4
"510","Eidgenossiche Technische Hochschule Zurich","Switzerland",24
"511","Emory University","USA",1
"512","Empresa Brasileira de Pesquisa Agropecuaria","Brazil",10
"513","English Nature","UK",10
"514","Entrix","USA",1
"515","Environment Canada","missing",12
"516","Environment Canada National Hydrology Research Center","missing",5
"517","Environment Canada Wildlife Research Division","missing",4
"518","Environment Canada Wildlife Research East","missing",1
"519","Environmental Defense Fund","USA",9
"520","Estacion Biologia Chamela","missing",6
"521","Estern Illinois U","missing",1
"522","Estonian Agricultultural University","Estonia",8
"523","ETH Zurich ","Switzerland",2
"524","European Forestry Institute","Finland",11
"525","Evergreen State College Washington","USA",10
"526","Evolution And Marine Biology, University Of California","United States",3
"527","Fachstelle fur Pflanzenschutz","Switzerland",4
"528","Farmers Edge","USA",7
"529","Farmers Rice Cooperative","USA",2
"530","Fauna and Flora International","Indonesia",2
"531","Federal Research Center for Nature Conservation and Landscape Ecology","Germany",9
"532","Federal Research Centre for Forestry and Forest Products","Germany",8
"533","Ferrum College","USA",13
"534","Field Museum of Natural History","USA",3
"535","Field Museum of Natural History","missing",3
"536","Filed Museum Of Natural History","United States",9
"537","Finnish Forest Research Institute","Finland",26
"538","Florida","USA",22
"539","Florida Dept. of Natural Resources Bureau of Marine Research","USA",1
"540","Florida Institute of Technology","USA",6
"541","Florida Institute of Technology","missing",9
"542","Florida Institute Of Technology","United States",10
"543","Florida International U","USA",8
"544","Florida International University","USA",18
"545","Florida International University and Center for Tropical Plant Conservation","USA",1
"546","Florida State U ","USA",4
"547","Florida State University","USA",71
"548","Food and Agriculture Organization","Italy",22
"549","Fordham University","USA",2
"550","Forest Research Institute","Greece",11
"551","Forest Research lnstitute Malaysia","Malaysia",4
"552","Forestry and Forest Products Research Institute","Japan",2
"553","Forestry Commission","UK",4
"554","Forests Department of Western Australia","Australia",10
"555","Forschungsinstitut Senckenberg","missing",4
"556","Fort Lewins College","USA",4
"557","Fort Valley State University","USA",6
"558","Franklin & Marshall","USA",1
"559","Free University Amsterdam","Netherlands",19
"560","Free University Amsterdam","Switzerland",4
"561","Freie Universitt Berlin","Germany",4
"562","Freie University of Berlin","Germany",1
"563","Freie University of Berlin","missing",3
"564","Freie Universit�t Berlin","Germany",2
"565","French Agricultural Research Centre for International Development","France",7
"566","French Institute of Pondicherry","India",2
"567","Gatty Marine Lab (University of Saint Andrews)","Scotland",5
"568","Gatty Marine Lab (University of Saint Andrews)","missing",1
"569","GEOMAR Helmholtz Center for Ocean Research Kiel","missing",4
"570","Georg-August-Universitat Gottingen","Germany",14
"571","George Mason University","USA",29
"572","Georgia Institute of Technology","USA",7
"573","Georgia Southern U","missing",2
"574","Georgia Southern University","USA",11
"575","Georgia State University","USA",2
"576","Gorgan University of Agric. Sci.","Iran",4
"577","Graduate University for Advanced Studies","Japan",3
"578","Grass Genomics Testing, Inc.","USA",2
"579","Griffith University","Australia",12
"580","Griffith University,","Australia",2
"581","Grinnell College","USA",1
"582","Guangxi U","missing",1
"583","Guelph","Canada",2
"584","Gulbenkian Institute","Portugal",3
"585","Hamilton College","missing",3
"586","Hampton University","USA",1
"587","Harvard","USA",21
"588","Harvard Forest","USA",16
"589","Harvard U","missing",4
"590","Harvard University","United States",12
"591","Harvard University","USA",28
"592","Harvard University","missing",1
"593","Hasting Reservation","missing",1
"594","Haus Nr.9 ","Germany",1
"595","Havel Land Consultants","Australia",2
"596","Hawaii","USA",8
"597","Hawk Mountain Sanctuary","missing",3
"598","Hebrew University of Jerusalem","Israel",4
"599","Helmholtz Centre for Environmental Research - UFZ","Germany",13
"600","Helmholtz Centre for Environmental Research - UFZ","Netherlands",5
"601","Helsinki","Finland",1
"602","Himeji City Aquarium","Japan",5
"603","Hiroshima University","Japan",3
"604","Hobart and William Smith College","missing",5
"605","Hofstra U","missing",3
"606","Hokkaido","Japan",10
"607","Hokkaido University","Japan",5
"608","Holy Cross College","USA",4
"609","Horizon Ag LLC","USA",3
"610","Humboldt Universitat zu Berlin","Germany",4
"611","Humboldt University","Germany",1
"612","Humboldt-Universitat zu Berlin","Germany",4
"613","Humbolt State U","missing",1
"614","Hunter College CUNY","USA",3
"615","Hunter College CUNY","missing",2
"616","IBIGEO CONICET","missing",3
"617","Idaho State University","United States",2
"618","Illinois","USA",8
"619","Illinois Natural History Survey","USA",16
"620","Illinois Natural History Survey","missing",6
"621","Illinois Natural History Survey ","USA",1
"622","Illinois State","USA",9
"623","Illinois State University","USA",3
"624","Imperial College at Silwood Park","UK",39
"625","Imperial College London","England",9
"626","Imperial College London","UK",12
"627","Imperial College London","United Kingdom",3
"628","Imperial College London Silwood Park","United Kingdom",5
"629","Indian Forest Service","India",3
"630","Indian Institute of Science","India",16
"631","Indian Institute of Sciences","India",4
"632","Indiana","USA",10
"633","Indiana State U","missing",6
"634","Indiana U","USA",40
"635","Indiana University","USA",29
"636","Indiana University/Purdue University at Fort Wayne","USA",3
"637","Innsbruck","Austria",14
"638","Insitute of Ecosystem Studies","USA",1
"639","Institut fur OstseeforschungWarnemunde","missing",1
"640","Institut Mediterrani d'Estudis Avencats (CSIC-UIB)","Spain",1
"641","Institut National de la Recherche Agronomique","France",11
"642","Institut national de recherche en sciences et technologies pour lenvironnement et lagriculture","France",3
"643","Institut National Scientifique et Technnique d' Oceanographie et de Peche","Tunisia",1
"644","Institute of Ecosystem","USA",1
"645","Institute of Ecosystem Studies","USA",14
"646","Institute of Forestry and Nature Research","Netherlands",1
"647","Institute of Landscape Ecology of Slovak Academy of Sciences","Slovakia",5
"648","Institute of Landscape Ecology of Slovak Academy of Sciences","USA",5
"649","Institute of Marine Biology of Crete","Greece",2
"650","Institute of Science and Technology","United Kingdom",2
"651","Institute of Terrestrial Ecology ","UK",13
"652","Institute of Tropical Forestry","Puerto Rico",4
"653","Instituto Boliviano de Investigacion Forestal","Bolivia",6
"654","Instituto de Biologia UNAM","missing",4
"655","Instituto de Ciencias del Mar CSIC","Spain",1
"656","Instituto de Ecologia A.C.","Mexico",5
"657","Instituto de Ecologia UNAM","Mexico",5
"658","Instituto de Investigaciones en Biodiversidad y Medioambiente","Argentina",1
"659","Instituto de Pesquisas Tecnologicas do Estado de Sao Paulo","Brazil",22
"660","Instituto de Recursos Naturales& Agrobiologia","Spain",5
"661","Instituto Mediterraneo de Estudios Avanzados","Spain",4
"662","Instituto Mediterraneo de Estudios Avanzados (IMEDEA)","Spain",2
"663","Instituto Nacional de Pesquisas da Amazonia","Brazil",17
"664","Instituto Nacional de Pesquisas da Amazonia-INPA","Brazil",4
"665","Instituto Nacional de Tecnologia Agropecua","Argentina",3
"666","Instituto Nacional de Tecnologia Agropecua EEA Oliveros","Argentina",4
"667","Instituto per l'Ambiente Marino Costiero","Italy",1
"668","Instituto Tecnologico de Costa Rica","Costa Rica",5
"669","Instituto Venezolano de Investigaciones Cientificas","Venezuela",21
"670","Instituto Venezolano Investigaciones Cientificas","Venezuela",7
"671","Intelligent Solutions Group ","USA",4
"672","International Center for Research in Agroforestry","Kenya",21
"673","International Centre of Insect Physiology and Ecology","Kenya",2
"674","International Crane Foundation","USA",17
"675","International Institute of Tropical Agriculture","UK",6
"676","International Institute of Tropical Forestry","USA",12
"677","International Plant Nutrition Institute","USA",7
"678","International Union for Conservation of Nature and Natural Resources","Switzerland",1
"679","International Union for Conservation of Nature and Natural Resources","UK",2
"680","International University Brennen","Germany",4
"681","Interuniversity Institute for Marine Sciences","missing",1
"682","Iowa State","USA",5
"683","Iowa State U","missing",12
"684","Iowa State University","Argentina",1
"685","Iowa State University","UK",5
"686","Iowa State University","United States",55
"687","Iowa State University","UsA",1
"688","Iowa State University","USA",75
"689","Israel Institute of Technology","Israel",7
"690","Israel Nature and National Parks Protection Authority","Israel",14
"691","Istituto per l¢Ambiente Marino Costiero","Italy",1
"692","Istituto Sperimentale per la Selvicoltura","Italy",7
"693","IZW","Germany",5
"694","J.W. Goethe University Frankfurt am Main","Germany",3
"695","Jacklin Seed Company","USA",2
"696","James Cook University","Australia",31
"697","James Cook University","Australiatralia",2
"698","James Cook University ","Australia",7
"699","James Cook University Townsville","Australia",4
