"JOURNAL","YEAR","VOLUME","ISSUE","TITLE","FIRST_NAME","MIDDLE_NAME","LAST_NAME","COUNTRY","CATEGORY","NOTES","NAME","editor_id","geo.code","INCOME_LEVEL","REGION"
"BITR",2014,46,1,"EB","Masresha","","Fetene","Ethiopia","SE","","Masresha Fetene",2367,"ETH","Low income","Sub-Saharan Africa"
"BITR",2014,46,1,"EB","Matthew","","Linkie","Indonesia","SE","","Matthew Linkie",2451,"IDN","Lower middle income","East Asia & Pacific"
"BITR",2014,46,1,"AE","Marielos","","Pena-Claros","Netherlands","AE","Also: Instituto Boliviano de Investigacion Forestal, Bolivia.","Marielos Pena-Claros",2510,"NLD","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Michelle","","Pinard","United Kingdom","SE","","Michelle Pinard",2516,"GBR","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Maria","","Uriarte","USA","SE","","Maria Uriarte",2582,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Nico","","Bluthgen","Germany","SE","","Nico Bluthgen",2628,"DEU","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Nina","","Farwig","Germany","SE","","Nina Farwig",2644,"DEU","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Orou","","Gaoue","USA","SE","","Orou Gaoue",2717,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Oscar","","Venter","Australia","SE","","Oscar Venter",2745,"AUS","High income: OECD","East Asia & Pacific"
"BITR",2014,46,1,"EB","Pieter","A","Zuidema","Netherlands","SE","","Pieter A Zuidema",2960,"NLD","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Robert","","Bagchi","Switzerland","SE","","Robert Bagchi",2975,"CHE","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Rebecca","","Morris","United Kingdom","SE","","Rebecca Morris",3164,"GBR","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Shin-ichiro","","Aiba","Japan","SE","Editorial Board Member (EB)","Shin-ichiro Aiba",3263,"JPN","High income: OECD","East Asia & Pacific"
"BITR",2014,46,1,"EB","Shonil","","Bhagwat","United Kingdom","SE","","Shonil Bhagwat",3281,"GBR","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Saara","","DeWalt","USA","SE","","Saara DeWalt",3312,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Stefan","","Lotters","Germany","SE","","Stefan Lotters",3396,"DEU","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Sarah","","Otterstrom","USA","SE","","Sarah Otterstrom",3424,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Stacy","","Philpott","USA","SE","","Stacy Philpott",3436,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Toby","","Gardner","United Kingdom","SE","","Toby Gardner",3551,"GBR","High income: OECD","Europe & Central Asia"
"BITR",2014,46,1,"EB","Terry","","McGlynn","USA","SE","","Terry McGlynn",3601,"USA","High income: OECD","North America"
"BITR",2014,46,1,"EB","Ted","","Webb","Singapore","SE","","Ted Webb",3655,"SGP","High income: nonOECD","East Asia & Pacific"
"BITR",2014,46,1,"EB","Vojtech","","Novotny","Czech Republic","SE","","Vojtech Novotny",3692,"CZE","High income: OECD","Europe & Central Asia"
"AREES",2013,44,NA,"E","Douglas","J","Futuyma","USA","EIC","","Douglas J Futuyma",697,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"AE","Daniel","","Simberloff","USA","AE","","Daniel Simberloff",867,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"AE","H","Bradley","Shaffer","USA","AE","","H Bradley Shaffer",1360,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Kaustuv","","Roy","USA","SE","","Kaustuv Roy",2079,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Mary","Eleanor","Power","USA","SE","","Mary Eleanor Power",2521,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Michael","D","Purugganan","USA","SE","","Michael D Purugganan",2528,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Pedro","","Jordano","Spain","SE","","Pedro Jordano",2842,"ESP","High income: OECD","Europe & Central Asia"
"AREES",2013,44,NA,"EC","Robert","B","Jackson","USA","SE","EditorialCommittee(EC)","Robert B Jackson",3105,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Robert","E","Ricklefs","USA","SE","","Robert E Ricklefs",3203,"USA","High income: OECD","North America"
"AREES",2013,44,NA,"EC","Sarah","P","Otto","Canada","SE","","Sarah P Otto",3425,"CAN","High income: OECD","North America"
"AREES",2014,45,NA,"E","Douglas","J","Futuyma","USA","EIC","","Douglas J Futuyma",697,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"AE","Daniel","","Simberloff","USA","AE","","Daniel Simberloff",867,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"AE","H","Bradley","Shaffer","USA","AE","","H Bradley Shaffer",1360,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"EC","Kaustuv","","Roy","USA","SE","","Kaustuv Roy",2079,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"EC","Mary","Eleanor","Power","USA","SE","","Mary Eleanor Power",2521,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"EC","Pedro","","Jordano","Spain","SE","","Pedro Jordano",2842,"ESP","High income: OECD","Europe & Central Asia"
"AREES",2014,45,NA,"EC","Robert","E","Ricklefs","USA","SE","","Robert E Ricklefs",3203,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"EC","Sarah","E","Hobbie","USA","SE","EditorialCommittee(EC)","Sarah E Hobbie",3360,"USA","High income: OECD","North America"
"AREES",2014,45,NA,"EC","Sarah","P","Otto","Canada","SE","","Sarah P Otto",3425,"CAN","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","A","R","Eaglesham","USA","SE","","A R Eaglesham",61,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","A","D","Halvorson","USA","SE","","A D Halvorson",95,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","A","A","Schneiter","USA","SE","","A A Schneiter",192,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","A","E","Smith","USA","SE","","A E Smith",201,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","B","L","Blad","USA","SE","","B L Blad",245,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","C","C","King","USA","SE","","C C King",495,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Technical.Editor","D","Green","Cummins","USA","AE","","D Green Cummins",660,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","D","J","Eckert","USA","SE","","D J Eckert",678,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","D","B","Egli","USA","SE","","D B Egli",679,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","D","R","Krieg","USA","SE","","D R Krieg",752,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","D","C","Reicosky","USA","SE","","D C Reicosky",837,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","F","M","Hons","USA","SE","","F M Hons",1081,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","F","D","Whisler","USA","SE","","F D Whisler",1143,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","G","","Guinn","USA","SE","","G Guinn",1190,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","G","M","Paulsen","USA","SE","","G M Paulsen",1242,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Editor","G","A","Peterson","USA","EIC","","G A Peterson",1245,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","H","D","Skipper","USA","SE","","H D Skipper",1363,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","I","C","Anderson","USA","SE","","I C Anderson",1387,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","I","D","Teare","USA","SE","","I D Teare",1423,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","J","M","Bradford","USA","SE","","J M Bradford",1479,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Technical.Editor","J","L","Hatfield","USA","AE","","J L Hatfield",1627,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","J","L","Heilman","USA","SE","","J L Heilman",1630,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","J","M","Norman","USA","SE","","J M Norman",1788,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","J","F","Power","USA","SE","","J F Power",1816,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","J","F","Stone","USA","SE","","J F Stone",1893,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","K","J","Boote","USA","SE","","K J Boote",1983,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","L","A","Harper","USA","SE","","L A Harper",2167,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Technical.Editor","L","E","Moser","USA","AE","","L E Moser",2210,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","L","R","Nelson","USA","SE","","L R Nelson",2214,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","L","A","Nelson","USA","SE","","L A Nelson",2214,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","M","L","Hooker","USA","SE","","M L Hooker",2414,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","M","P","Russelle","USA","SE","","M P Russelle",2544,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","P","H","Graham","USA","SE","","P H Graham",2816,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","P","N","Soltanpour","USA","SE","","P N Soltanpour",2920,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","P","LG","Vlek","Germany","SE","","P LG Vlek",2947,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","R","E","Barker","USA","SE","","R E Barker",2978,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","R","H","Hart","USA","SE","","R H Hart",3085,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","R","D","Horrocks","USA","SE","","R D Horrocks",3097,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","R","S","Kalmbacher","USA","SE","","R S Kalmbacher",3115,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","R","E","Sojka","USA","SE","","R E Sojka",3224,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Technical.Editor","R","W","Weaver","USA","AE","","R W Weaver",3245,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","T","R","Peck","USA","SE","","T R Peck",3620,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","V","V","Volk","USA","SE","","V V Volk",3704,"USA","High income: OECD","North America"
"AGRONOMY",1985,77,1,"Associate.Editor","W","R","Kneebone","USA","SE","","W R Kneebone",3759,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","A","R","Eaglesham","USA","SE","","A R Eaglesham",61,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","A","D","Halvorson","USA","SE","","A D Halvorson",95,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","A","A","Schneiter","USA","SE","","A A Schneiter",192,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","A","E","Smith","USA","SE","","A E Smith",201,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","B","E","Anderson","USA","SE","","B E Anderson",240,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","B","L","Blad","USA","SE","","B L Blad",245,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","C","S","Daughtry","USA","SE","","C S Daughtry",431,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","C","C","King","USA","SE","","C C King",495,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","J","Eckert","USA","SE","","D J Eckert",678,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","L","Jeffers","USA","SE","","D L Jeffers",737,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","R","Kreig","USA","SE","","D R Kreig",751,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","A","Lauer","USA","SE","","D A Lauer",756,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","C","Reicosky","USA","SE","","D C Reicosky",837,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","D","H","Smith","USA","SE","","D H Smith",870,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","F","M","Hons","USA","SE","","F M Hons",1081,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","F","D","Whisler","USA","SE","","F D Whisler",1143,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","G","","Guinn","USA","SE","","G Guinn",1190,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","G","M","Paulsen","USA","SE","","G M Paulsen",1242,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Editor","G","A","Peterson","USA","EIC","","G A Peterson",1245,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Technical.Editor","I","D","Teare","USA","AE","","I D Teare",1423,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","J","M","Bradford","USA","SE","","J M Bradford",1479,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Technical.Editor","J","L","Hatfield","USA","AE","","J L Hatfield",1627,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","J","F","Power","USA","SE","","J F Power",1816,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","K","J","Boote","USA","SE","","K J Boote",1983,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","L","H","Allen","USA","SE","","L H Allen",2122,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","L","A","Harper","USA","SE","","L A Harper",2167,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Technical.Editor","L","E","Moser","USA","AE","","L E Moser",2210,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","L","R","Nelson","USA","SE","","L R Nelson",2214,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","L","A","Nelson","USA","SE","","L A Nelson",2214,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","M","","Collins","USA","SE","","M Collins",2334,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","M","L","Hooker","USA","SE","","M L Hooker",2414,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","M","B","Kirkham","USA","SE","","M B Kirkham",2434,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","M","M","Peet","USA","SE","","M M Peet",2509,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","M","P","Russelle","USA","SE","","M P Russelle",2544,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","P","H","Graham","USA","SE","","P H Graham",2816,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","R","E","Barker","USA","SE","","R E Barker",2978,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","R","D","Horrocks","USA","SE","","R D Horrocks",3097,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","R","S","Kalmbacher","USA","SE","","R S Kalmbacher",3115,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","R","E","Sojka","USA","SE","","R E Sojka",3224,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","P","L","Vlek","Germany","SE","","R L Vlek",2947,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Technical.Editor","R","W","Weaver","USA","AE","","R W Weaver",3245,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","T","R","Peck","USA","SE","","T R Peck",3620,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","V","V","Volk","USA","SE","","V V Volk",3704,"USA","High income: OECD","North America"
"AGRONOMY",1986,78,1,"Associate.Editor","W","R","Kneebone","USA","SE","","W R Kneebone",3759,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Ardeshir","","Adeli","USA","SE","","Ardeshir Adeli",1,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Amitava","","Chatterjee","USA","SE","","Amitava Chatterjee",37,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Ali","","Gazanchian","Iran","SE","","Ali Gazanchian",82,"IRN","Upper middle income","Middle East & North Africa"
"AGRONOMY",2014,106,1,"AE","Andrea","L","Maas","USA","SE","","Andrea L Maas",140,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Andrew","","Price","USA","SE","","Andrew Price",171,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Anil","","Shrestha","USA","SE","","Anil Shrestha",198,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Afshin","","Soltani","Iran","SE","","Afshin Soltani",204,"IRN","Upper middle income","Middle East & North Africa"
"AGRONOMY",2014,106,1,"AE","Andreas","","Westphal","USA","SE","","Andreas Westphal",228,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Alan","L","Wright","USA","SE","","Alan L Wright",234,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"Technical.Editor","Barry","S","Glaz","USA","AE","","Barry S Glaz",279,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Biswapati","","Mandal","India","SE","","Biswapati Mandal",315,"IND","Lower middle income","South Asia"
"AGRONOMY",2014,106,1,"AE","Brenda","","Tubana","USA","SE","","Brenda Tubana",370,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Charles","","Chen","USA","SE","","Charles Chen",3856,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Chitranjan","","Kumar","India","SE","","Chitranjan Kumar",502,"IND","Lower middle income","South Asia"
"AGRONOMY",2014,106,1,"AE","Carlos","","Pedreira","Brazil","SE","","Carlos Pedreira",549,"BRA","Upper middle income","Latin America & Caribbean"
"AGRONOMY",2014,106,1,"AE","Calvin","","Trostle","USA","SE","","Calvin Trostle",582,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Chengsong","","Zhu","USA","SE","","Chengsong Zhu",604,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","David","W","Archer","USA","SE","","David W Archer",610,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"Technical.Editor","David","J","Barker","USA","AE","","David J Barker",616,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Dinesh","","Benbi","India","SE","","Dinesh Benbi",622,"IND","Lower middle income","South Asia"
"AGRONOMY",2014,106,1,"Technical.Editor","David","","Clay","USA","AE","","David Clay",651,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"Technical.Editor","Dorivar","Ruiz","Diaz","USA","AE","Technical Editor (TE)","Dorivar Ruiz Diaz",668,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","David","","Gardner","USA","SE","","David Gardner",699,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","David","L","Holshouser","USA","SE","","David L Holshouser",725,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","David","L","Jones","United Kingdom","SE","","David L Jones",742,"GBR","High income: OECD","Europe & Central Asia"
"AGRONOMY",2014,106,1,"AE","Douglas","E","Karcher","USA","SE","","Douglas E Karcher",744,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Dokyoung","","Lee","USA","SE","","Dokyoung Lee",758,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Daniel","","Long","USA","SE","* Columbia Plateau Conservation Research Center is part of the USDA","Daniel Long",767,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Dirk","","Mallants","Australia","SE","","Dirk Mallants",777,"AUS","High income: OECD","East Asia & Pacific"
"AGRONOMY",2014,106,1,"AE","Dan","","O'Brien","USA","SE","*Also book review editor","Dan O'Brien",805,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Earl","","Creech","USA","SE","","Earl Creech",950,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","E","Raymond","Hunt","USA","SE","","E Raymond Hunt",981,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Erin","","Silva","USA","SE","","Erin Silva",1027,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Francisco","J","Arriaga","USA","SE","","Francisco J Arriaga",1049,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Francisco","","Calderon","USA","SE","Also United States Department of Agriculture-Agricultural Research Service","Francisco Calderon",1061,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Fikru","J","Haile","USA","SE","","Fikru J Haile",1076,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Feng-Min","","Li","China","SE","","Feng-Min Li",1098,"CHN","Upper middle income","East Asia & Pacific"
"AGRONOMY",2014,106,1,"AE","Fernando","H","Miguez","USA","SE","","Fernando H Miguez",1111,"ARG","High income: nonOECD","Latin America & Caribbean"
"AGRONOMY",2014,106,1,"AE","Fabrice","Green","Renaud","Germany","SE","","Fabrice Green Renaud",1122,"DEU","High income: OECD","Europe & Central Asia"
"AGRONOMY",2014,106,1,"AE","Guanglong","","Feng","USA","SE","","Guanglong Feng",1177,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Greta","Green","Gramig","USA","SE","","Greta Green Gramig",1186,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Guillermo","","Siri-Prieto","Uruguay","SE","","Guillermo Siri-Prieto",1258,"URY","High income: nonOECD","Latin America & Caribbean"
"AGRONOMY",2014,106,1,"AE","Humberto","","Blanco","USA","SE","","Humberto Blanco",1286,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"Technical.Editor","H","Arnold","Bruns","USA","AE","","H Arnold Bruns",1289,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Hezhong","","Dong","China","SE","","Hezhong Dong",1298,"CHN","Upper middle income","East Asia & Pacific"
"AGRONOMY",2014,106,1,"AE","Hero","","Gollany","USA","SE","","Hero Gollany",1303,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Haibo","","Liu","USA","SE","","Haibo Liu",1331,"USA","High income: OECD","North America"
"AGRONOMY",2014,106,1,"AE","Henry","J","Mascagni","USA","SE","","Henry J Mascagni",1337,"USA","High income: OECD","North America"
